,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
164,Wed Jan 13 2021,10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,STAPLES Center,5,New Orleans Pelicans Vs Los Angeles Clippers,Los Angeles Clippers
165,Wed Jan 13 2021,10:00p,Portland Trail Blazers,132,Sacramento Kings,126,Golden 1 Center,6,Portland Trail Blazers Vs Sacramento Kings,Portland Trail Blazers
166,Thu Jan 14 2021,7:00p,Miami Heat,108,Philadelphia 76ers,125,Wells Fargo Center,17,Miami Heat Vs Philadelphia 76ers,Philadelphia 76ers
167,Thu Jan 14 2021,7:30p,Houston Rockets,109,San Antonio Spurs,105,AT&T Center,4,Houston Rockets Vs San Antonio Spurs,Houston Rockets
168,Thu Jan 14 2021,7:30p,Charlotte Hornets,108,Toronto Raptors,111,Amalie Arena,3,Charlotte Hornets Vs Toronto Raptors,Toronto Raptors
169,Thu Jan 14 2021,10:00p,Golden State Warriors,104,Denver Nuggets,114,Ball Arena,10,Golden State Warriors Vs Denver Nuggets,Denver Nuggets
170,Thu Jan 14 2021,10:00p,Indiana Pacers,111,Portland Trail Blazers,87,Moda Center,24,Indiana Pacers Vs Portland Trail Blazers,Indiana Pacers
171,Fri Jan 15 2021,7:30p,Orlando Magic,97,Boston Celtics,124,TD Garden,27,Orlando Magic Vs Boston Celtics,Boston Celtics
172,Fri Jan 15 2021,7:30p,New York Knicks,103,Cleveland Cavaliers,106,Rocket Mortgage Fieldhouse,3,New York Knicks Vs Cleveland Cavaliers,Cleveland Cavaliers
173,Fri Jan 15 2021,7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,Fiserv Forum,3,Dallas Mavericks Vs Milwaukee Bucks,Milwaukee Bucks
174,Fri Jan 15 2021,8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,Chesapeake Energy Arena,2,Chicago Bulls Vs Oklahoma City Thunder,Oklahoma City Thunder
175,Fri Jan 15 2021,9:00p,Atlanta Hawks,92,Utah Jazz,116,Vivint Smart Home Arena,24,Atlanta Hawks Vs Utah Jazz,Utah Jazz
176,Fri Jan 15 2021,10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,STAPLES Center,17,New Orleans Pelicans Vs Los Angeles Lakers,Los Angeles Lakers
177,Fri Jan 15 2021,10:00p,Los Angeles Clippers,138,Sacramento Kings,100,Golden 1 Center,38,Los Angeles Clippers Vs Sacramento Kings,Los Angeles Clippers
178,Sat Jan 16 2021,5:00p,Houston Rockets,91,San Antonio Spurs,103,AT&T Center,12,Houston Rockets Vs San Antonio Spurs,San Antonio Spurs
179,Sat Jan 16 2021,6:00p,Orlando Magic,115,Brooklyn Nets,122,Barclays Center,7,Orlando Magic Vs Brooklyn Nets,Brooklyn Nets
180,Sat Jan 16 2021,7:30p,Charlotte Hornets,113,Toronto Raptors,116,Amalie Arena,3,Charlotte Hornets Vs Toronto Raptors,Toronto Raptors
181,Sat Jan 16 2021,8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,FedEx Forum,2,Philadelphia 76ers Vs Memphis Grizzlies,Memphis Grizzlies
182,Sat Jan 16 2021,8:00p,Detroit Pistons,120,Miami Heat,100,AmericanAirlines Arena,20,Detroit Pistons Vs Miami Heat,Detroit Pistons
183,Sat Jan 16 2021,10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,Moda Center,6,Atlanta Hawks Vs Portland Trail Blazers,Portland Trail Blazers
184,Sun Jan 17 2021,1:00p,New York Knicks,105,Boston Celtics,75,TD Garden,30,New York Knicks Vs Boston Celtics,New York Knicks
185,Sun Jan 17 2021,3:00p,Chicago Bulls,117,Dallas Mavericks,101,American Airlines Center,16,Chicago Bulls Vs Dallas Mavericks,Chicago Bulls
186,Sun Jan 17 2021,8:00p,Utah Jazz,109,Denver Nuggets,105,Ball Arena,4,Utah Jazz Vs Denver Nuggets,Utah Jazz
187,Sun Jan 17 2021,9:00p,New Orleans Pelicans,128,Sacramento Kings,123,Golden 1 Center,5,New Orleans Pelicans Vs Sacramento Kings,New Orleans Pelicans
188,Sun Jan 17 2021,10:00p,Indiana Pacers,96,Los Angeles Clippers,129,STAPLES Center,33,Indiana Pacers Vs Los Angeles Clippers,Los Angeles Clippers
189,Mon Jan 18 2021,12:00p,Orlando Magic,84,New York Knicks,91,Madison Square Garden (IV),7,Orlando Magic Vs New York Knicks,New York Knicks
190,Mon Jan 18 2021,2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,State Farm Arena,11,Minnesota Timberwolves Vs Atlanta Hawks,Atlanta Hawks
191,Mon Jan 18 2021,3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,Moda Center,21,San Antonio Spurs Vs Portland Trail Blazers,San Antonio Spurs
192,Mon Jan 18 2021,5:00p,Phoenix Suns,104,Memphis Grizzlies,108,FedEx Forum,4,Phoenix Suns Vs Memphis Grizzlies,Memphis Grizzlies
193,Mon Jan 18 2021,7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,Barclays Center,2,Milwaukee Bucks Vs Brooklyn Nets,Brooklyn Nets
194,Mon Jan 18 2021,7:30p,Dallas Mavericks,93,Toronto Raptors,116,Amalie Arena,23,Dallas Mavericks Vs Toronto Raptors,Toronto Raptors
195,Mon Jan 18 2021,8:00p,Houston Rockets,120,Chicago Bulls,125,United Center,5,Houston Rockets Vs Chicago Bulls,Chicago Bulls
196,Mon Jan 18 2021,8:00p,Detroit Pistons,107,Miami Heat,113,AmericanAirlines Arena,6,Detroit Pistons Vs Miami Heat,Miami Heat
197,Mon Jan 18 2021,10:00p,Golden State Warriors,115,Los Angeles Lakers,113,STAPLES Center,2,Golden State Warriors Vs Los Angeles Lakers,Golden State Warriors
198,Tue Jan 19 2021,9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,Ball Arena,18,Oklahoma City Thunder Vs Denver Nuggets,Denver Nuggets
199,Tue Jan 19 2021,9:00p,New Orleans Pelicans,102,Utah Jazz,118,Vivint Smart Home Arena,16,New Orleans Pelicans Vs Utah Jazz,Utah Jazz
200,Wed Jan 20 2021,7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,Rocket Mortgage Fieldhouse,12,Brooklyn Nets Vs Cleveland Cavaliers,Cleveland Cavaliers
201,Wed Jan 20 2021,7:00p,Dallas Mavericks,124,Indiana Pacers,112,Bankers Life Fieldhouse,12,Dallas Mavericks Vs Indiana Pacers,Dallas Mavericks
202,Wed Jan 20 2021,7:00p,Boston Celtics,109,Philadelphia 76ers,117,Wells Fargo Center,8,Boston Celtics Vs Philadelphia 76ers,Philadelphia 76ers
203,Wed Jan 20 2021,7:30p,Detroit Pistons,115,Atlanta Hawks,123,State Farm Arena,8,Detroit Pistons Vs Atlanta Hawks,Atlanta Hawks
204,Wed Jan 20 2021,7:30p,Miami Heat,111,Toronto Raptors,102,Amalie Arena,9,Miami Heat Vs Toronto Raptors,Miami Heat
205,Wed Jan 20 2021,8:00p,Orlando Magic,97,Minnesota Timberwolves,96,Target Center,1,Orlando Magic Vs Minnesota Timberwolves,Orlando Magic
206,Wed Jan 20 2021,9:30p,Phoenix Suns,109,Houston Rockets,103,Toyota Center,6,Phoenix Suns Vs Houston Rockets,Phoenix Suns
207,Wed Jan 20 2021,10:00p,San Antonio Spurs,99,Golden State Warriors,121,Chase Center,22,San Antonio Spurs Vs Golden State Warriors,Golden State Warriors
208,Wed Jan 20 2021,10:00p,Sacramento Kings,96,Los Angeles Clippers,115,STAPLES Center,19,Sacramento Kings Vs Los Angeles Clippers,Los Angeles Clippers
209,Thu Jan 21 2021,7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,Fiserv Forum,7,Los Angeles Lakers Vs Milwaukee Bucks,Los Angeles Lakers
210,Thu Jan 21 2021,10:00p,New York Knicks,119,Golden State Warriors,104,Chase Center,15,New York Knicks Vs Golden State Warriors,New York Knicks
211,Thu Jan 21 2021,10:00p,New Orleans Pelicans,118,Utah Jazz,129,Vivint Smart Home Arena,11,New Orleans Pelicans Vs Utah Jazz,Utah Jazz
212,Fri Jan 22 2021,7:00p,Chicago Bulls,123,Charlotte Hornets,110,Spectrum Center,13,Chicago Bulls Vs Charlotte Hornets,Chicago Bulls
213,Fri Jan 22 2021,7:00p,Houston Rockets,103,Detroit Pistons,102,Little Caesars Arena,1,Houston Rockets Vs Detroit Pistons,Houston Rockets
214,Fri Jan 22 2021,7:00p,Orlando Magic,118,Indiana Pacers,120,Bankers Life Fieldhouse,2,Orlando Magic Vs Indiana Pacers,Indiana Pacers
215,Fri Jan 22 2021,7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,Rocket Mortgage Fieldhouse,12,Brooklyn Nets Vs Cleveland Cavaliers,Cleveland Cavaliers
216,Fri Jan 22 2021,7:30p,Boston Celtics,110,Philadelphia 76ers,122,Wells Fargo Center,12,Boston Celtics Vs Philadelphia 76ers,Philadelphia 76ers
217,Fri Jan 22 2021,7:30p,Miami Heat,81,Toronto Raptors,101,Amalie Arena,20,Miami Heat Vs Toronto Raptors,Toronto Raptors
218,Fri Jan 22 2021,8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,Target Center,18,Atlanta Hawks Vs Minnesota Timberwolves,Atlanta Hawks
219,Fri Jan 22 2021,8:30p,Dallas Mavericks,122,San Antonio Spurs,117,AT&T Center,5,Dallas Mavericks Vs San Antonio Spurs,Dallas Mavericks
220,Fri Jan 22 2021,10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,STAPLES Center,14,Oklahoma City Thunder Vs Los Angeles Clippers,Los Angeles Clippers
221,Fri Jan 22 2021,10:00p,Denver Nuggets,130,Phoenix Suns,126,Phoenix Suns Arena,4,Denver Nuggets Vs Phoenix Suns,Denver Nuggets
222,Fri Jan 22 2021,10:00p,New York Knicks,94,Sacramento Kings,103,Golden 1 Center,9,New York Knicks Vs Sacramento Kings,Sacramento Kings
223,Sat Jan 23 2021,8:00p,Miami Heat,124,Brooklyn Nets,128,Barclays Center,4,Miami Heat Vs Brooklyn Nets,Brooklyn Nets
224,Sat Jan 23 2021,8:00p,Philadelphia 76ers,114,Detroit Pistons,110,Little Caesars Arena,4,Philadelphia 76ers Vs Detroit Pistons,Philadelphia 76ers
225,Sat Jan 23 2021,8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,Target Center,10,New Orleans Pelicans Vs Minnesota Timberwolves,Minnesota Timberwolves
226,Sat Jan 23 2021,9:00p,Los Angeles Lakers,101,Chicago Bulls,90,United Center,11,Los Angeles Lakers Vs Chicago Bulls,Los Angeles Lakers
227,Sat Jan 23 2021,9:00p,Houston Rockets,133,Dallas Mavericks,108,American Airlines Center,25,Houston Rockets Vs Dallas Mavericks,Houston Rockets
228,Sat Jan 23 2021,9:00p,Denver Nuggets,120,Phoenix Suns,112,Phoenix Suns Arena,8,Denver Nuggets Vs Phoenix Suns,Denver Nuggets
229,Sat Jan 23 2021,9:00p,Golden State Warriors,108,Utah Jazz,127,Vivint Smart Home Arena,19,Golden State Warriors Vs Utah Jazz,Utah Jazz
230,Sun Jan 24 2021,1:00p,Toronto Raptors,107,Indiana Pacers,102,Bankers Life Fieldhouse,5,Toronto Raptors Vs Indiana Pacers,Toronto Raptors
231,Sun Jan 24 2021,4:00p,Oklahoma City Thunder,100,Los Angeles Clippers,108,STAPLES Center,8,Oklahoma City Thunder Vs Los Angeles Clippers,Los Angeles Clippers
232,Sun Jan 24 2021,7:00p,Cleveland Cavaliers,103,Boston Celtics,141,TD Garden,38,Cleveland Cavaliers Vs Boston Celtics,Boston Celtics
233,Sun Jan 24 2021,7:00p,Charlotte Hornets,107,Orlando Magic,104,Amway Center,3,Charlotte Hornets Vs Orlando Magic,Charlotte Hornets
234,Sun Jan 24 2021,8:00p,Atlanta Hawks,115,Milwaukee Bucks,129,Fiserv Forum,14,Atlanta Hawks Vs Milwaukee Bucks,Milwaukee Bucks
235,Sun Jan 24 2021,8:00p,Washington Wizards,101,San Antonio Spurs,121,AT&T Center,20,Washington Wizards Vs San Antonio Spurs,San Antonio Spurs
236,Sun Jan 24 2021,10:00p,New York Knicks,113,Portland Trail Blazers,116,Moda Center,3,New York Knicks Vs Portland Trail Blazers,Portland Trail Blazers
237,Mon Jan 25 2021,7:00p,Philadelphia 76ers,104,Detroit Pistons,119,Little Caesars Arena,15,Philadelphia 76ers Vs Detroit Pistons,Detroit Pistons
238,Mon Jan 25 2021,7:00p,Toronto Raptors,114,Indiana Pacers,129,Bankers Life Fieldhouse,15,Toronto Raptors Vs Indiana Pacers,Indiana Pacers
239,Mon Jan 25 2021,7:00p,Charlotte Hornets,108,Orlando Magic,117,Amway Center,9,Charlotte Hornets Vs Orlando Magic,Orlando Magic
240,Mon Jan 25 2021,7:30p,Miami Heat,85,Brooklyn Nets,98,Barclays Center,13,Miami Heat Vs Brooklyn Nets,Brooklyn Nets
241,Mon Jan 25 2021,8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,7,Los Angeles Lakers Vs Cleveland Cavaliers,Los Angeles Lakers
242,Mon Jan 25 2021,8:30p,Denver Nuggets,117,Dallas Mavericks,113,American Airlines Center,4,Denver Nuggets Vs Dallas Mavericks,Denver Nuggets
243,Mon Jan 25 2021,9:00p,Boston Celtics,119,Chicago Bulls,103,United Center,16,Boston Celtics Vs Chicago Bulls,Boston Celtics
244,Mon Jan 25 2021,10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,Chase Center,22,Minnesota Timberwolves Vs Golden State Warriors,Golden State Warriors
245,Mon Jan 25 2021,10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,Moda Center,3,Oklahoma City Thunder Vs Portland Trail Blazers,Oklahoma City Thunder
246,Tue Jan 26 2021,7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,State Farm Arena,9,Los Angeles Clippers Vs Atlanta Hawks,Atlanta Hawks
247,Tue Jan 26 2021,8:00p,Washington Wizards,88,Houston Rockets,107,Toyota Center,19,Washington Wizards Vs Houston Rockets,Houston Rockets
248,Tue Jan 26 2021,9:00p,New York Knicks,94,Utah Jazz,108,Vivint Smart Home Arena,14,New York Knicks Vs Utah Jazz,Utah Jazz
249,Wed Jan 27 2021,7:00p,Indiana Pacers,116,Charlotte Hornets,106,Spectrum Center,10,Indiana Pacers Vs Charlotte Hornets,Indiana Pacers
250,Wed Jan 27 2021,7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,Rocket Mortgage Fieldhouse,15,Detroit Pistons Vs Cleveland Cavaliers,Cleveland Cavaliers
251,Wed Jan 27 2021,7:00p,Sacramento Kings,121,Orlando Magic,107,Amway Center,14,Sacramento Kings Vs Orlando Magic,Sacramento Kings
252,Wed Jan 27 2021,7:30p,Brooklyn Nets,132,Atlanta Hawks,128,State Farm Arena,4,Brooklyn Nets Vs Atlanta Hawks,Brooklyn Nets
253,Wed Jan 27 2021,7:30p,Denver Nuggets,109,Miami Heat,82,AmericanAirlines Arena,27,Denver Nuggets Vs Miami Heat,Denver Nuggets
254,Wed Jan 27 2021,7:30p,Los Angeles Lakers,106,Philadelphia 76ers,107,Wells Fargo Center,1,Los Angeles Lakers Vs Philadelphia 76ers,Philadelphia 76ers
255,Wed Jan 27 2021,7:30p,Milwaukee Bucks,115,Toronto Raptors,108,Amalie Arena,7,Milwaukee Bucks Vs Toronto Raptors,Milwaukee Bucks
256,Wed Jan 27 2021,8:30p,Boston Celtics,106,San Antonio Spurs,110,AT&T Center,4,Boston Celtics Vs San Antonio Spurs,San Antonio Spurs
257,Wed Jan 27 2021,9:00p,Washington Wizards,106,New Orleans Pelicans,124,Smoothie King Center,18,Washington Wizards Vs New Orleans Pelicans,New Orleans Pelicans
258,Wed Jan 27 2021,9:00p,Oklahoma City Thunder,102,Phoenix Suns,97,Phoenix Suns Arena,5,Oklahoma City Thunder Vs Phoenix Suns,Oklahoma City Thunder
259,Wed Jan 27 2021,9:00p,Dallas Mavericks,104,Utah Jazz,116,Vivint Smart Home Arena,12,Dallas Mavericks Vs Utah Jazz,Utah Jazz
260,Wed Jan 27 2021,10:00p,Minnesota Timberwolves,111,Golden State Warriors,123,Chase Center,12,Minnesota Timberwolves Vs Golden State Warriors,Golden State Warriors
261,Thu Jan 28 2021,7:30p,Portland Trail Blazers,101,Houston Rockets,104,Toyota Center,3,Portland Trail Blazers Vs Houston Rockets,Houston Rockets
262,Thu Jan 28 2021,8:00p,Los Angeles Lakers,92,Detroit Pistons,107,Little Caesars Arena,15,Los Angeles Lakers Vs Detroit Pistons,Detroit Pistons
263,Thu Jan 28 2021,8:00p,Los Angeles Clippers,109,Miami Heat,105,AmericanAirlines Arena,4,Los Angeles Clippers Vs Miami Heat,Los Angeles Clippers
264,Thu Jan 28 2021,10:00p,Golden State Warriors,93,Phoenix Suns,114,Phoenix Suns Arena,21,Golden State Warriors Vs Phoenix Suns,Phoenix Suns
265,Fri Jan 29 2021,7:00p,Indiana Pacers,105,Charlotte Hornets,108,Spectrum Center,3,Indiana Pacers Vs Charlotte Hornets,Charlotte Hornets
266,Fri Jan 29 2021,7:00p,Atlanta Hawks,116,Washington Wizards,100,Capital One Arena,16,Atlanta Hawks Vs Washington Wizards,Atlanta Hawks
267,Fri Jan 29 2021,7:30p,Milwaukee Bucks,126,New Orleans Pelicans,131,Smoothie King Center,5,Milwaukee Bucks Vs New Orleans Pelicans,New Orleans Pelicans
268,Fri Jan 29 2021,7:30p,Cleveland Cavaliers,81,New York Knicks,102,Madison Square Garden (IV),21,Cleveland Cavaliers Vs New York Knicks,New York Knicks
269,Fri Jan 29 2021,7:30p,Sacramento Kings,126,Toronto Raptors,124,Amalie Arena,2,Sacramento Kings Vs Toronto Raptors,Sacramento Kings
270,Fri Jan 29 2021,8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,94,Target Center,24,Philadelphia 76ers Vs Minnesota Timberwolves,Philadelphia 76ers
271,Fri Jan 29 2021,8:00p,Brooklyn Nets,147,Oklahoma City Thunder,125,Chesapeake Energy Arena,22,Brooklyn Nets Vs Oklahoma City Thunder,Brooklyn Nets
272,Fri Jan 29 2021,8:00p,Los Angeles Clippers,116,Orlando Magic,90,Amway Center,26,Los Angeles Clippers Vs Orlando Magic,Los Angeles Clippers
273,Fri Jan 29 2021,8:30p,Denver Nuggets,109,San Antonio Spurs,119,AT&T Center,10,Denver Nuggets Vs San Antonio Spurs,San Antonio Spurs
274,Fri Jan 29 2021,10:00p,Dallas Mavericks,101,Utah Jazz,120,Vivint Smart Home Arena,19,Dallas Mavericks Vs Utah Jazz,Utah Jazz
275,Sat Jan 30 2021,8:00p,Portland Trail Blazers,123,Chicago Bulls,122,United Center,1,Portland Trail Blazers Vs Chicago Bulls,Portland Trail Blazers
276,Sat Jan 30 2021,8:00p,Milwaukee Bucks,114,Charlotte Hornets,126,Spectrum Center,12,Milwaukee Bucks Vs Charlotte Hornets,Charlotte Hornets
277,Sat Jan 30 2021,8:00p,Sacramento Kings,104,Miami Heat,105,AmericanAirlines Arena,1,Sacramento Kings Vs Miami Heat,Miami Heat
278,Sat Jan 30 2021,8:00p,Houston Rockets,126,New Orleans Pelicans,112,Smoothie King Center,14,Houston Rockets Vs New Orleans Pelicans,Houston Rockets
279,Sat Jan 30 2021,8:30p,Los Angeles Lakers,96,Boston Celtics,95,TD Garden,1,Los Angeles Lakers Vs Boston Celtics,Los Angeles Lakers
280,Sat Jan 30 2021,8:30p,Memphis Grizzlies,129,San Antonio Spurs,112,AT&T Center,17,Memphis Grizzlies Vs San Antonio Spurs,Memphis Grizzlies
281,Sat Jan 30 2021,9:00p,Phoenix Suns,111,Dallas Mavericks,105,American Airlines Center,6,Phoenix Suns Vs Dallas Mavericks,Phoenix Suns
282,Sat Jan 30 2021,10:00p,Detroit Pistons,91,Golden State Warriors,118,Chase Center,27,Detroit Pistons Vs Golden State Warriors,Golden State Warriors
283,Sun Jan 31 2021,1:00p,Los Angeles Clippers,129,New York Knicks,115,Madison Square Garden (IV),14,Los Angeles Clippers Vs New York Knicks,Los Angeles Clippers
284,Sun Jan 31 2021,3:30p,Utah Jazz,117,Denver Nuggets,128,Ball Arena,11,Utah Jazz Vs Denver Nuggets,Denver Nuggets
285,Sun Jan 31 2021,7:00p,Philadelphia 76ers,119,Indiana Pacers,110,Bankers Life Fieldhouse,9,Philadelphia 76ers Vs Indiana Pacers,Philadelphia 76ers
286,Sun Jan 31 2021,7:00p,Orlando Magic,102,Toronto Raptors,115,Amalie Arena,13,Orlando Magic Vs Toronto Raptors,Toronto Raptors
287,Sun Jan 31 2021,7:00p,Brooklyn Nets,146,Washington Wizards,149,Capital One Arena,3,Brooklyn Nets Vs Washington Wizards,Washington Wizards
288,Sun Jan 31 2021,8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,109,Target Center,5,Cleveland Cavaliers Vs Minnesota Timberwolves,Minnesota Timberwolves
289,Mon Feb 1 2021,7:30p,Los Angeles Lakers,107,Atlanta Hawks,99,State Farm Arena,8,Los Angeles Lakers Vs Atlanta Hawks,Los Angeles Lakers
290,Mon Feb 1 2021,7:30p,Charlotte Hornets,129,Miami Heat,121,AmericanAirlines Arena,8,Charlotte Hornets Vs Miami Heat,Charlotte Hornets
291,Mon Feb 1 2021,8:00p,New York Knicks,102,Chicago Bulls,110,United Center,8,New York Knicks Vs Chicago Bulls,Chicago Bulls
292,Mon Feb 1 2021,8:00p,Minnesota Timberwolves,98,Cleveland Cavaliers,100,Rocket Mortgage Fieldhouse,2,Minnesota Timberwolves Vs Cleveland Cavaliers,Cleveland Cavaliers
293,Mon Feb 1 2021,8:00p,Portland Trail Blazers,106,Milwaukee Bucks,134,Fiserv Forum,28,Portland Trail Blazers Vs Milwaukee Bucks,Milwaukee Bucks
294,Mon Feb 1 2021,8:00p,Sacramento Kings,118,New Orleans Pelicans,109,Smoothie King Center,9,Sacramento Kings Vs New Orleans Pelicans,Sacramento Kings
295,Mon Feb 1 2021,8:00p,Houston Rockets,136,Oklahoma City Thunder,106,Chesapeake Energy Arena,30,Houston Rockets Vs Oklahoma City Thunder,Houston Rockets
296,Mon Feb 1 2021,8:30p,Phoenix Suns,109,Dallas Mavericks,108,American Airlines Center,1,Phoenix Suns Vs Dallas Mavericks,Phoenix Suns
297,Mon Feb 1 2021,8:30p,Memphis Grizzlies,133,San Antonio Spurs,102,AT&T Center,31,Memphis Grizzlies Vs San Antonio Spurs,Memphis Grizzlies
298,Tue Feb 2 2021,7:00p,Toronto Raptors,123,Orlando Magic,108,Amway Center,15,Toronto Raptors Vs Orlando Magic,Toronto Raptors
299,Tue Feb 2 2021,7:30p,Los Angeles Clippers,120,Brooklyn Nets,124,Barclays Center,4,Los Angeles Clippers Vs Brooklyn Nets,Brooklyn Nets
300,Tue Feb 2 2021,8:00p,Memphis Grizzlies,116,Indiana Pacers,134,Bankers Life Fieldhouse,18,Memphis Grizzlies Vs Indiana Pacers,Indiana Pacers
301,Tue Feb 2 2021,8:00p,Portland Trail Blazers,132,Washington Wizards,121,Capital One Arena,11,Portland Trail Blazers Vs Washington Wizards,Portland Trail Blazers
302,Tue Feb 2 2021,10:00p,Boston Celtics,111,Golden State Warriors,107,Chase Center,4,Boston Celtics Vs Golden State Warriors,Boston Celtics
303,Tue Feb 2 2021,10:00p,Detroit Pistons,105,Utah Jazz,117,Vivint Smart Home Arena,12,Detroit Pistons Vs Utah Jazz,Utah Jazz
304,Wed Feb 3 2021,7:00p,Philadelphia 76ers,118,Charlotte Hornets,111,Spectrum Center,7,Philadelphia 76ers Vs Charlotte Hornets,Philadelphia 76ers
305,Wed Feb 3 2021,7:00p,Indiana Pacers,110,Milwaukee Bucks,130,Fiserv Forum,20,Indiana Pacers Vs Milwaukee Bucks,Milwaukee Bucks
306,Wed Feb 3 2021,7:30p,Dallas Mavericks,122,Atlanta Hawks,116,State Farm Arena,6,Dallas Mavericks Vs Atlanta Hawks,Dallas Mavericks
307,Wed Feb 3 2021,8:00p,New York Knicks,107,Chicago Bulls,103,United Center,4,New York Knicks Vs Chicago Bulls,New York Knicks
308,Wed Feb 3 2021,8:00p,Los Angeles Clippers,121,Cleveland Cavaliers,99,Rocket Mortgage Fieldhouse,22,Los Angeles Clippers Vs Cleveland Cavaliers,Los Angeles Clippers
309,Wed Feb 3 2021,8:00p,Washington Wizards,103,Miami Heat,100,AmericanAirlines Arena,3,Washington Wizards Vs Miami Heat,Washington Wizards
310,Wed Feb 3 2021,8:00p,Houston Rockets,87,Oklahoma City Thunder,104,Chesapeake Energy Arena,17,Houston Rockets Vs Oklahoma City Thunder,Oklahoma City Thunder
311,Wed Feb 3 2021,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,111,AT&T Center,3,Minnesota Timberwolves Vs San Antonio Spurs,San Antonio Spurs
312,Wed Feb 3 2021,9:30p,Phoenix Suns,101,New Orleans Pelicans,123,Smoothie King Center,22,Phoenix Suns Vs New Orleans Pelicans,New Orleans Pelicans
313,Wed Feb 3 2021,10:00p,Boston Celtics,111,Sacramento Kings,116,Golden 1 Center,5,Boston Celtics Vs Sacramento Kings,Sacramento Kings
314,Thu Feb 4 2021,7:30p,Utah Jazz,112,Atlanta Hawks,91,State Farm Arena,21,Utah Jazz Vs Atlanta Hawks,Utah Jazz
315,Thu Feb 4 2021,7:30p,Golden State Warriors,147,Dallas Mavericks,116,American Airlines Center,31,Golden State Warriors Vs Dallas Mavericks,Golden State Warriors
316,Thu Feb 4 2021,8:00p,Portland Trail Blazers,121,Philadelphia 76ers,105,Wells Fargo Center,16,Portland Trail Blazers Vs Philadelphia 76ers,Portland Trail Blazers
317,Thu Feb 4 2021,9:00p,Houston Rockets,115,Memphis Grizzlies,103,FedEx Forum,12,Houston Rockets Vs Memphis Grizzlies,Houston Rockets
318,Thu Feb 4 2021,10:00p,Denver Nuggets,93,Los Angeles Lakers,114,STAPLES Center,21,Denver Nuggets Vs Los Angeles Lakers,Los Angeles Lakers
319,Fri Feb 5 2021,7:00p,New Orleans Pelicans,114,Indiana Pacers,113,Bankers Life Fieldhouse,1,New Orleans Pelicans Vs Indiana Pacers,New Orleans Pelicans
320,Fri Feb 5 2021,7:00p,Chicago Bulls,119,Orlando Magic,123,Amway Center,4,Chicago Bulls Vs Orlando Magic,Orlando Magic
321,Fri Feb 5 2021,7:30p,Toronto Raptors,123,Brooklyn Nets,117,Barclays Center,6,Toronto Raptors Vs Brooklyn Nets,Toronto Raptors
322,Fri Feb 5 2021,7:30p,Milwaukee Bucks,123,Cleveland Cavaliers,105,Rocket Mortgage Fieldhouse,18,Milwaukee Bucks Vs Cleveland Cavaliers,Milwaukee Bucks
323,Fri Feb 5 2021,8:00p,Utah Jazz,138,Charlotte Hornets,121,Spectrum Center,17,Utah Jazz Vs Charlotte Hornets,Utah Jazz
324,Fri Feb 5 2021,8:00p,Washington Wizards,95,Miami Heat,122,AmericanAirlines Arena,27,Washington Wizards Vs Miami Heat,Miami Heat
325,Fri Feb 5 2021,8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,103,Chesapeake Energy Arena,3,Minnesota Timberwolves Vs Oklahoma City Thunder,Minnesota Timberwolves
326,Fri Feb 5 2021,9:00p,Detroit Pistons,92,Phoenix Suns,109,Phoenix Suns Arena,17,Detroit Pistons Vs Phoenix Suns,Phoenix Suns
327,Fri Feb 5 2021,10:00p,Boston Celtics,119,Los Angeles Clippers,115,STAPLES Center,4,Boston Celtics Vs Los Angeles Clippers,Boston Celtics
328,Sat Feb 6 2021,1:00p,Portland Trail Blazers,99,New York Knicks,110,Madison Square Garden (IV),11,Portland Trail Blazers Vs New York Knicks,New York Knicks
