,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
841,Sat Feb 12 2022,7:00p,Sacramento Kings,123,Washington Wizards,110,Capital One Arena,13,Sacramento Kings Vs Washington Wizards,Sacramento Kings
842,Sat Feb 12 2022,7:30p,Cleveland Cavaliers,93,Philadelphia 76ers,103,Wells Fargo Center,10,Cleveland Cavaliers Vs Philadelphia 76ers,Philadelphia 76ers
843,Sat Feb 12 2022,7:30p,Denver Nuggets,110,Toronto Raptors,109,Scotiabank Arena,1,Denver Nuggets Vs Toronto Raptors,Denver Nuggets
844,Sat Feb 12 2022,8:00p,Oklahoma City Thunder,101,Chicago Bulls,106,United Center,5,Oklahoma City Thunder Vs Chicago Bulls,Chicago Bulls
845,Sat Feb 12 2022,8:00p,Brooklyn Nets,111,Miami Heat,115,FTX Arena,4,Brooklyn Nets Vs Miami Heat,Miami Heat
846,Sat Feb 12 2022,8:30p,Los Angeles Clippers,99,Dallas Mavericks,97,American Airlines Center,2,Los Angeles Clippers Vs Dallas Mavericks,Los Angeles Clippers
847,Sat Feb 12 2022,8:30p,Los Angeles Lakers,115,Golden State Warriors,117,Chase Center,2,Los Angeles Lakers Vs Golden State Warriors,Golden State Warriors
848,Sat Feb 12 2022,9:00p,Orlando Magic,105,Phoenix Suns,132,Phoenix Suns Arena,27,Orlando Magic Vs Phoenix Suns,Phoenix Suns
849,Sun Feb 13 2022,2:00p,Atlanta Hawks,95,Boston Celtics,105,TD Garden,10,Atlanta Hawks Vs Boston Celtics,Boston Celtics
850,Sun Feb 13 2022,3:00p,Minnesota Timberwolves,129,Indiana Pacers,120,Gainbridge Fieldhouse,9,Minnesota Timberwolves Vs Indiana Pacers,Minnesota Timberwolves
851,Mon Feb 14 2022,7:00p,Detroit Pistons,94,Washington Wizards,103,Capital One Arena,9,Detroit Pistons Vs Washington Wizards,Washington Wizards
852,Mon Feb 14 2022,7:30p,Sacramento Kings,85,Brooklyn Nets,109,Barclays Center,24,Sacramento Kings Vs Brooklyn Nets,Brooklyn Nets
853,Mon Feb 14 2022,7:30p,Oklahoma City Thunder,127,New York Knicks,123,Madison Square Garden (IV),4,Oklahoma City Thunder Vs New York Knicks,Oklahoma City Thunder
854,Mon Feb 14 2022,8:00p,San Antonio Spurs,109,Chicago Bulls,120,United Center,11,San Antonio Spurs Vs Chicago Bulls,Chicago Bulls
855,Mon Feb 14 2022,8:00p,Portland Trail Blazers,122,Milwaukee Bucks,107,Fiserv Forum,15,Portland Trail Blazers Vs Milwaukee Bucks,Portland Trail Blazers
856,Mon Feb 14 2022,8:00p,Toronto Raptors,90,New Orleans Pelicans,120,Smoothie King Center,30,Toronto Raptors Vs New Orleans Pelicans,New Orleans Pelicans
857,Mon Feb 14 2022,9:00p,Orlando Magic,111,Denver Nuggets,121,Ball Arena,10,Orlando Magic Vs Denver Nuggets,Denver Nuggets
858,Mon Feb 14 2022,9:00p,Houston Rockets,101,Utah Jazz,135,Vivint Smart Home Arena,34,Houston Rockets Vs Utah Jazz,Utah Jazz
859,Mon Feb 14 2022,10:30p,Golden State Warriors,104,Los Angeles Clippers,119,Crypto.com Arena,15,Golden State Warriors Vs Los Angeles Clippers,Los Angeles Clippers
