,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
1049,Fri Mar 18 2022,7:30p,Los Angeles Lakers,128,Toronto Raptors,123,Scotiabank Arena,5,Los Angeles Lakers Vs Toronto Raptors,Los Angeles Lakers
1050,Fri Mar 18 2022,8:00p,Indiana Pacers,121,Houston Rockets,118,Toyota Center,3,Indiana Pacers Vs Houston Rockets,Indiana Pacers
1051,Fri Mar 18 2022,8:00p,Oklahoma City Thunder,108,Miami Heat,120,FTX Arena,12,Oklahoma City Thunder Vs Miami Heat,Miami Heat
1052,Fri Mar 18 2022,8:30p,New Orleans Pelicans,124,San Antonio Spurs,91,AT&T Center,33,New Orleans Pelicans Vs San Antonio Spurs,New Orleans Pelicans
1053,Fri Mar 18 2022,9:00p,Los Angeles Clippers,92,Utah Jazz,121,Vivint Smart Home Arena,29,Los Angeles Clippers Vs Utah Jazz,Utah Jazz
1054,Fri Mar 18 2022,10:00p,Chicago Bulls,102,Phoenix Suns,129,Phoenix Suns Arena,27,Chicago Bulls Vs Phoenix Suns,Phoenix Suns
1055,Fri Mar 18 2022,10:00p,Boston Celtics,126,Sacramento Kings,97,Golden 1 Center,29,Boston Celtics Vs Sacramento Kings,Boston Celtics
1056,Sat Mar 19 2022,5:00p,Milwaukee Bucks,119,Minnesota Timberwolves,138,Target Center,19,Milwaukee Bucks Vs Minnesota Timberwolves,Minnesota Timberwolves
1057,Sat Mar 19 2022,7:00p,Dallas Mavericks,108,Charlotte Hornets,129,Spectrum Center,21,Dallas Mavericks Vs Charlotte Hornets,Charlotte Hornets
1058,Sat Mar 19 2022,8:00p,Detroit Pistons,109,Cleveland Cavaliers,113,Rocket Mortgage Fieldhouse,4,Detroit Pistons Vs Cleveland Cavaliers,Cleveland Cavaliers
1059,Sat Mar 19 2022,8:00p,Los Angeles Lakers,119,Washington Wizards,127,Capital One Arena,8,Los Angeles Lakers Vs Washington Wizards,Washington Wizards
1060,Sun Mar 20 2022,3:30p,Memphis Grizzlies,122,Houston Rockets,98,Toyota Center,24,Memphis Grizzlies Vs Houston Rockets,Memphis Grizzlies
1061,Sun Mar 20 2022,3:30p,Portland Trail Blazers,98,Indiana Pacers,129,Gainbridge Fieldhouse,31,Portland Trail Blazers Vs Indiana Pacers,Indiana Pacers
1062,Sun Mar 20 2022,6:00p,New Orleans Pelicans,117,Atlanta Hawks,112,State Farm Arena,5,New Orleans Pelicans Vs Atlanta Hawks,New Orleans Pelicans
1063,Sun Mar 20 2022,6:00p,Oklahoma City Thunder,85,Orlando Magic,90,Amway Center,5,Oklahoma City Thunder Vs Orlando Magic,Orlando Magic
1064,Sun Mar 20 2022,6:00p,Phoenix Suns,127,Sacramento Kings,124,Golden 1 Center,3,Phoenix Suns Vs Sacramento Kings,Phoenix Suns
1065,Sun Mar 20 2022,7:30p,Utah Jazz,108,New York Knicks,93,Madison Square Garden (IV),15,Utah Jazz Vs New York Knicks,Utah Jazz
1066,Sun Mar 20 2022,8:00p,Boston Celtics,124,Denver Nuggets,104,Ball Arena,20,Boston Celtics Vs Denver Nuggets,Boston Celtics
1067,Sun Mar 20 2022,8:30p,San Antonio Spurs,110,Golden State Warriors,108,Chase Center,2,San Antonio Spurs Vs Golden State Warriors,San Antonio Spurs
1068,Sun Mar 20 2022,8:30p,Toronto Raptors,93,Philadelphia 76ers,88,Wells Fargo Center,5,Toronto Raptors Vs Philadelphia 76ers,Toronto Raptors
1069,Mon Mar 21 2022,7:00p,New Orleans Pelicans,103,Charlotte Hornets,106,Spectrum Center,3,New Orleans Pelicans Vs Charlotte Hornets,Charlotte Hornets
1070,Mon Mar 21 2022,7:00p,Los Angeles Lakers,131,Cleveland Cavaliers,120,Rocket Mortgage Fieldhouse,11,Los Angeles Lakers Vs Cleveland Cavaliers,Los Angeles Lakers
1071,Mon Mar 21 2022,7:00p,Portland Trail Blazers,119,Detroit Pistons,115,Little Caesars Arena,4,Portland Trail Blazers Vs Detroit Pistons,Portland Trail Blazers
1072,Mon Mar 21 2022,7:30p,Utah Jazz,106,Brooklyn Nets,114,Barclays Center,8,Utah Jazz Vs Brooklyn Nets,Brooklyn Nets
1073,Mon Mar 21 2022,7:30p,Miami Heat,106,Philadelphia 76ers,113,Wells Fargo Center,7,Miami Heat Vs Philadelphia 76ers,Philadelphia 76ers
1074,Mon Mar 21 2022,8:00p,Toronto Raptors,99,Chicago Bulls,113,United Center,14,Toronto Raptors Vs Chicago Bulls,Chicago Bulls
1075,Mon Mar 21 2022,8:00p,Washington Wizards,97,Houston Rockets,115,Toyota Center,18,Washington Wizards Vs Houston Rockets,Houston Rockets
1076,Mon Mar 21 2022,8:00p,Boston Celtics,132,Oklahoma City Thunder,123,Paycom Center,9,Boston Celtics Vs Oklahoma City Thunder,Boston Celtics
1077,Mon Mar 21 2022,8:30p,Minnesota Timberwolves,108,Dallas Mavericks,110,American Airlines Center,2,Minnesota Timberwolves Vs Dallas Mavericks,Dallas Mavericks
1078,Tue Mar 22 2022,7:00p,Golden State Warriors,90,Orlando Magic,94,Amway Center,4,Golden State Warriors Vs Orlando Magic,Orlando Magic
1079,Tue Mar 22 2022,7:30p,Atlanta Hawks,117,New York Knicks,111,Madison Square Garden (IV),6,Atlanta Hawks Vs New York Knicks,Atlanta Hawks
1080,Tue Mar 22 2022,8:00p,Chicago Bulls,98,Milwaukee Bucks,126,Fiserv Forum,28,Chicago Bulls Vs Milwaukee Bucks,Milwaukee Bucks
1081,Tue Mar 22 2022,10:00p,Los Angeles Clippers,115,Denver Nuggets,127,Ball Arena,12,Los Angeles Clippers Vs Denver Nuggets,Denver Nuggets
1082,Wed Mar 23 2022,7:00p,New York Knicks,121,Charlotte Hornets,106,Spectrum Center,15,New York Knicks Vs Charlotte Hornets,New York Knicks
1083,Wed Mar 23 2022,7:00p,Atlanta Hawks,101,Detroit Pistons,122,Little Caesars Arena,21,Atlanta Hawks Vs Detroit Pistons,Detroit Pistons
1084,Wed Mar 23 2022,7:00p,Sacramento Kings,110,Indiana Pacers,109,Gainbridge Fieldhouse,1,Sacramento Kings Vs Indiana Pacers,Sacramento Kings
1085,Wed Mar 23 2022,7:30p,Utah Jazz,97,Boston Celtics,125,TD Garden,28,Utah Jazz Vs Boston Celtics,Boston Celtics
1086,Wed Mar 23 2022,7:30p,Brooklyn Nets,120,Memphis Grizzlies,132,FedEx Forum,12,Brooklyn Nets Vs Memphis Grizzlies,Memphis Grizzlies
1087,Wed Mar 23 2022,7:30p,Golden State Warriors,118,Miami Heat,104,FTX Arena,14,Golden State Warriors Vs Miami Heat,Golden State Warriors
1088,Wed Mar 23 2022,8:00p,Phoenix Suns,125,Minnesota Timberwolves,116,Target Center,9,Phoenix Suns Vs Minnesota Timberwolves,Phoenix Suns
1089,Wed Mar 23 2022,8:00p,Orlando Magic,102,Oklahoma City Thunder,118,Paycom Center,16,Orlando Magic Vs Oklahoma City Thunder,Oklahoma City Thunder
1090,Wed Mar 23 2022,8:30p,Houston Rockets,91,Dallas Mavericks,110,American Airlines Center,19,Houston Rockets Vs Dallas Mavericks,Dallas Mavericks
1091,Wed Mar 23 2022,10:00p,Philadelphia 76ers,126,Los Angeles Lakers,121,Crypto.com Arena,5,Philadelphia 76ers Vs Los Angeles Lakers,Philadelphia 76ers
1092,Wed Mar 23 2022,10:00p,San Antonio Spurs,133,Portland Trail Blazers,96,Moda Center,37,San Antonio Spurs Vs Portland Trail Blazers,San Antonio Spurs
1093,Thu Mar 24 2022,7:30p,Cleveland Cavaliers,104,Toronto Raptors,117,Scotiabank Arena,13,Cleveland Cavaliers Vs Toronto Raptors,Toronto Raptors
1094,Thu Mar 24 2022,8:00p,Indiana Pacers,103,Memphis Grizzlies,133,FedEx Forum,30,Indiana Pacers Vs Memphis Grizzlies,Memphis Grizzlies
1095,Thu Mar 24 2022,8:00p,Washington Wizards,102,Milwaukee Bucks,114,Fiserv Forum,12,Washington Wizards Vs Milwaukee Bucks,Milwaukee Bucks
1096,Thu Mar 24 2022,8:00p,Chicago Bulls,109,New Orleans Pelicans,126,Smoothie King Center,17,Chicago Bulls Vs New Orleans Pelicans,New Orleans Pelicans
1097,Thu Mar 24 2022,9:00p,Phoenix Suns,140,Denver Nuggets,130,Ball Arena,10,Phoenix Suns Vs Denver Nuggets,Phoenix Suns
1098,Fri Mar 25 2022,7:00p,Utah Jazz,101,Charlotte Hornets,107,Spectrum Center,6,Utah Jazz Vs Charlotte Hornets,Charlotte Hornets
1099,Fri Mar 25 2022,7:00p,Washington Wizards,100,Detroit Pistons,97,Little Caesars Arena,3,Washington Wizards Vs Detroit Pistons,Washington Wizards
1100,Fri Mar 25 2022,7:30p,Golden State Warriors,110,Atlanta Hawks,121,State Farm Arena,11,Golden State Warriors Vs Atlanta Hawks,Atlanta Hawks
1101,Fri Mar 25 2022,8:00p,New York Knicks,111,Miami Heat,103,FTX Arena,8,New York Knicks Vs Miami Heat,New York Knicks
1102,Fri Mar 25 2022,8:00p,Dallas Mavericks,95,Minnesota Timberwolves,116,Target Center,21,Dallas Mavericks Vs Minnesota Timberwolves,Minnesota Timberwolves
1103,Fri Mar 25 2022,10:00p,Houston Rockets,125,Portland Trail Blazers,106,Moda Center,19,Houston Rockets Vs Portland Trail Blazers,Houston Rockets
1104,Fri Mar 25 2022,10:30p,Philadelphia 76ers,122,Los Angeles Clippers,97,Crypto.com Arena,25,Philadelphia 76ers Vs Los Angeles Clippers,Philadelphia 76ers
1105,Sat Mar 26 2022,5:00p,San Antonio Spurs,107,New Orleans Pelicans,103,Smoothie King Center,4,San Antonio Spurs Vs New Orleans Pelicans,San Antonio Spurs
1106,Sat Mar 26 2022,7:00p,Sacramento Kings,114,Orlando Magic,110,Amway Center,4,Sacramento Kings Vs Orlando Magic,Sacramento Kings
1107,Sat Mar 26 2022,7:30p,Indiana Pacers,91,Toronto Raptors,131,Scotiabank Arena,40,Indiana Pacers Vs Toronto Raptors,Toronto Raptors
1108,Sat Mar 26 2022,8:00p,Chicago Bulls,98,Cleveland Cavaliers,94,Rocket Mortgage Fieldhouse,4,Chicago Bulls Vs Cleveland Cavaliers,Chicago Bulls
1109,Sat Mar 26 2022,8:00p,Milwaukee Bucks,102,Memphis Grizzlies,127,FedEx Forum,25,Milwaukee Bucks Vs Memphis Grizzlies,Memphis Grizzlies
1110,Sat Mar 26 2022,8:00p,Brooklyn Nets,110,Miami Heat,95,FTX Arena,15,Brooklyn Nets Vs Miami Heat,Brooklyn Nets
1111,Sat Mar 26 2022,9:00p,Oklahoma City Thunder,107,Denver Nuggets,113,Ball Arena,6,Oklahoma City Thunder Vs Denver Nuggets,Denver Nuggets
1112,Sat Mar 26 2022,10:00p,Houston Rockets,115,Portland Trail Blazers,98,Moda Center,17,Houston Rockets Vs Portland Trail Blazers,Houston Rockets
1113,Sun Mar 27 2022,3:30p,New York Knicks,104,Detroit Pistons,102,Little Caesars Arena,2,New York Knicks Vs Detroit Pistons,New York Knicks
1114,Sun Mar 27 2022,6:00p,Minnesota Timberwolves,112,Boston Celtics,134,TD Garden,22,Minnesota Timberwolves Vs Boston Celtics,Boston Celtics
1115,Sun Mar 27 2022,6:00p,Philadelphia 76ers,104,Phoenix Suns,114,Phoenix Suns Arena,10,Philadelphia 76ers Vs Phoenix Suns,Phoenix Suns
1116,Sun Mar 27 2022,6:00p,Golden State Warriors,115,Washington Wizards,123,Capital One Arena,8,Golden State Warriors Vs Washington Wizards,Washington Wizards
1117,Sun Mar 27 2022,7:00p,Los Angeles Lakers,108,New Orleans Pelicans,116,Smoothie King Center,8,Los Angeles Lakers Vs New Orleans Pelicans,New Orleans Pelicans
1118,Sun Mar 27 2022,7:30p,Charlotte Hornets,119,Brooklyn Nets,110,Barclays Center,9,Charlotte Hornets Vs Brooklyn Nets,Charlotte Hornets
1119,Sun Mar 27 2022,7:30p,Utah Jazz,100,Dallas Mavericks,114,American Airlines Center,14,Utah Jazz Vs Dallas Mavericks,Dallas Mavericks
1120,Mon Mar 28 2022,7:00p,Denver Nuggets,113,Charlotte Hornets,109,Spectrum Center,4,Denver Nuggets Vs Charlotte Hornets,Denver Nuggets
1121,Mon Mar 28 2022,7:00p,Orlando Magic,101,Cleveland Cavaliers,107,Rocket Mortgage Fieldhouse,6,Orlando Magic Vs Cleveland Cavaliers,Cleveland Cavaliers
1122,Mon Mar 28 2022,7:00p,Atlanta Hawks,132,Indiana Pacers,123,Gainbridge Fieldhouse,9,Atlanta Hawks Vs Indiana Pacers,Atlanta Hawks
1123,Mon Mar 28 2022,7:30p,Sacramento Kings,100,Miami Heat,123,FTX Arena,23,Sacramento Kings Vs Miami Heat,Miami Heat
1124,Mon Mar 28 2022,7:30p,Chicago Bulls,104,New York Knicks,109,Madison Square Garden (IV),5,Chicago Bulls Vs New York Knicks,New York Knicks
1125,Mon Mar 28 2022,7:30p,Boston Celtics,112,Toronto Raptors,115,Scotiabank Arena,3,Boston Celtics Vs Toronto Raptors,Toronto Raptors
1126,Mon Mar 28 2022,8:00p,San Antonio Spurs,123,Houston Rockets,120,Toyota Center,3,San Antonio Spurs Vs Houston Rockets,San Antonio Spurs
1127,Mon Mar 28 2022,8:00p,Golden State Warriors,95,Memphis Grizzlies,123,FedEx Forum,28,Golden State Warriors Vs Memphis Grizzlies,Memphis Grizzlies
1128,Mon Mar 28 2022,10:00p,Oklahoma City Thunder,134,Portland Trail Blazers,131,Moda Center,3,Oklahoma City Thunder Vs Portland Trail Blazers,Oklahoma City Thunder
1129,Tue Mar 29 2022,7:00p,Milwaukee Bucks,118,Philadelphia 76ers,116,Wells Fargo Center,2,Milwaukee Bucks Vs Philadelphia 76ers,Milwaukee Bucks
1130,Tue Mar 29 2022,7:00p,Chicago Bulls,107,Washington Wizards,94,Capital One Arena,13,Chicago Bulls Vs Washington Wizards,Chicago Bulls
1131,Tue Mar 29 2022,7:30p,Detroit Pistons,123,Brooklyn Nets,130,Barclays Center,7,Detroit Pistons Vs Brooklyn Nets,Brooklyn Nets
1132,Tue Mar 29 2022,7:30p,Los Angeles Lakers,110,Dallas Mavericks,128,American Airlines Center,18,Los Angeles Lakers Vs Dallas Mavericks,Dallas Mavericks
1133,Tue Mar 29 2022,10:00p,Utah Jazz,115,Los Angeles Clippers,121,Crypto.com Arena,6,Utah Jazz Vs Los Angeles Clippers,Los Angeles Clippers
1134,Wed Mar 30 2022,7:00p,Dallas Mavericks,120,Cleveland Cavaliers,112,Rocket Mortgage Fieldhouse,8,Dallas Mavericks Vs Cleveland Cavaliers,Dallas Mavericks
1135,Wed Mar 30 2022,7:00p,Denver Nuggets,125,Indiana Pacers,118,Gainbridge Fieldhouse,7,Denver Nuggets Vs Indiana Pacers,Denver Nuggets
1136,Wed Mar 30 2022,7:00p,Orlando Magic,110,Washington Wizards,127,Capital One Arena,17,Orlando Magic Vs Washington Wizards,Washington Wizards
1137,Wed Mar 30 2022,7:30p,Miami Heat,106,Boston Celtics,98,TD Garden,8,Miami Heat Vs Boston Celtics,Miami Heat
1138,Wed Mar 30 2022,7:30p,Charlotte Hornets,125,New York Knicks,114,Madison Square Garden (IV),11,Charlotte Hornets Vs New York Knicks,Charlotte Hornets
1139,Wed Mar 30 2022,7:30p,Minnesota Timberwolves,102,Toronto Raptors,125,Scotiabank Arena,23,Minnesota Timberwolves Vs Toronto Raptors,Toronto Raptors
1140,Wed Mar 30 2022,8:00p,Sacramento Kings,121,Houston Rockets,118,Toyota Center,3,Sacramento Kings Vs Houston Rockets,Sacramento Kings
1141,Wed Mar 30 2022,8:00p,Atlanta Hawks,136,Oklahoma City Thunder,118,Paycom Center,18,Atlanta Hawks Vs Oklahoma City Thunder,Atlanta Hawks
1142,Wed Mar 30 2022,8:30p,Memphis Grizzlies,112,San Antonio Spurs,111,AT&T Center,1,Memphis Grizzlies Vs San Antonio Spurs,Memphis Grizzlies
1143,Wed Mar 30 2022,10:00p,Phoenix Suns,107,Golden State Warriors,103,Chase Center,4,Phoenix Suns Vs Golden State Warriors,Phoenix Suns
1144,Wed Mar 30 2022,10:00p,New Orleans Pelicans,117,Portland Trail Blazers,107,Moda Center,10,New Orleans Pelicans Vs Portland Trail Blazers,New Orleans Pelicans
1145,Thu Mar 31 2022,7:00p,Philadelphia 76ers,94,Detroit Pistons,102,Little Caesars Arena,8,Philadelphia 76ers Vs Detroit Pistons,Detroit Pistons
1146,Thu Mar 31 2022,7:30p,Cleveland Cavaliers,107,Atlanta Hawks,131,State Farm Arena,24,Cleveland Cavaliers Vs Atlanta Hawks,Atlanta Hawks
1147,Thu Mar 31 2022,7:30p,Milwaukee Bucks,120,Brooklyn Nets,119,Barclays Center,1,Milwaukee Bucks Vs Brooklyn Nets,Milwaukee Bucks
1148,Thu Mar 31 2022,8:00p,Los Angeles Clippers,130,Chicago Bulls,135,United Center,5,Los Angeles Clippers Vs Chicago Bulls,Chicago Bulls
1149,Thu Mar 31 2022,10:00p,Los Angeles Lakers,109,Utah Jazz,122,Vivint Smart Home Arena,13,Los Angeles Lakers Vs Utah Jazz,Utah Jazz
1150,Fri Apr 1 2022,7:00p,Toronto Raptors,102,Orlando Magic,89,Amway Center,13,Toronto Raptors Vs Orlando Magic,Toronto Raptors
1151,Fri Apr 1 2022,7:00p,Dallas Mavericks,103,Washington Wizards,135,Capital One Arena,32,Dallas Mavericks Vs Washington Wizards,Washington Wizards
1152,Fri Apr 1 2022,7:30p,Indiana Pacers,123,Boston Celtics,128,TD Garden,5,Indiana Pacers Vs Boston Celtics,Boston Celtics
1153,Fri Apr 1 2022,8:00p,Sacramento Kings,122,Houston Rockets,117,Toyota Center,5,Sacramento Kings Vs Houston Rockets,Sacramento Kings
1154,Fri Apr 1 2022,8:00p,Phoenix Suns,114,Memphis Grizzlies,122,FedEx Forum,8,Phoenix Suns Vs Memphis Grizzlies,Memphis Grizzlies
1155,Fri Apr 1 2022,8:00p,Los Angeles Clippers,153,Milwaukee Bucks,119,Fiserv Forum,34,Los Angeles Clippers Vs Milwaukee Bucks,Los Angeles Clippers
1156,Fri Apr 1 2022,8:00p,Detroit Pistons,110,Oklahoma City Thunder,101,Paycom Center,9,Detroit Pistons Vs Oklahoma City Thunder,Detroit Pistons
1157,Fri Apr 1 2022,8:30p,Portland Trail Blazers,111,San Antonio Spurs,130,AT&T Center,19,Portland Trail Blazers Vs San Antonio Spurs,San Antonio Spurs
1158,Fri Apr 1 2022,9:00p,Minnesota Timberwolves,136,Denver Nuggets,130,Ball Arena,6,Minnesota Timberwolves Vs Denver Nuggets,Minnesota Timberwolves
1159,Fri Apr 1 2022,10:30p,New Orleans Pelicans,114,Los Angeles Lakers,111,Crypto.com Arena,3,New Orleans Pelicans Vs Los Angeles Lakers,New Orleans Pelicans
1160,Sat Apr 2 2022,12:30p,Charlotte Hornets,114,Philadelphia 76ers,144,Wells Fargo Center,30,Charlotte Hornets Vs Philadelphia 76ers,Philadelphia 76ers
1161,Sat Apr 2 2022,1:00p,Cleveland Cavaliers,119,New York Knicks,101,Madison Square Garden (IV),18,Cleveland Cavaliers Vs New York Knicks,Cleveland Cavaliers
1162,Sat Apr 2 2022,7:30p,Brooklyn Nets,115,Atlanta Hawks,122,State Farm Arena,7,Brooklyn Nets Vs Atlanta Hawks,Atlanta Hawks
1163,Sat Apr 2 2022,8:00p,Miami Heat,127,Chicago Bulls,109,United Center,18,Miami Heat Vs Chicago Bulls,Miami Heat
1164,Sat Apr 2 2022,8:30p,Utah Jazz,107,Golden State Warriors,111,Chase Center,4,Utah Jazz Vs Golden State Warriors,Golden State Warriors
1165,Sun Apr 3 2022,1:00p,Washington Wizards,102,Boston Celtics,144,TD Garden,42,Washington Wizards Vs Boston Celtics,Boston Celtics
1166,Sun Apr 3 2022,1:00p,Dallas Mavericks,118,Milwaukee Bucks,112,Fiserv Forum,6,Dallas Mavericks Vs Milwaukee Bucks,Dallas Mavericks
1167,Sun Apr 3 2022,3:30p,Denver Nuggets,129,Los Angeles Lakers,118,Crypto.com Arena,11,Denver Nuggets Vs Los Angeles Lakers,Denver Nuggets
1168,Sun Apr 3 2022,5:00p,Detroit Pistons,121,Indiana Pacers,117,Gainbridge Fieldhouse,4,Detroit Pistons Vs Indiana Pacers,Detroit Pistons
1169,Sun Apr 3 2022,6:00p,Philadelphia 76ers,112,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,4,Philadelphia 76ers Vs Cleveland Cavaliers,Philadelphia 76ers
1170,Sun Apr 3 2022,6:00p,New York Knicks,118,Orlando Magic,88,Amway Center,30,New York Knicks Vs Orlando Magic,New York Knicks
1171,Sun Apr 3 2022,7:00p,Minnesota Timberwolves,139,Houston Rockets,132,Toyota Center,7,Minnesota Timberwolves Vs Houston Rockets,Minnesota Timberwolves
1172,Sun Apr 3 2022,7:00p,Phoenix Suns,96,Oklahoma City Thunder,117,Paycom Center,21,Phoenix Suns Vs Oklahoma City Thunder,Oklahoma City Thunder
1173,Sun Apr 3 2022,7:00p,Portland Trail Blazers,92,San Antonio Spurs,113,AT&T Center,21,Portland Trail Blazers Vs San Antonio Spurs,San Antonio Spurs
1174,Sun Apr 3 2022,7:00p,Miami Heat,114,Toronto Raptors,109,Scotiabank Arena,5,Miami Heat Vs Toronto Raptors,Miami Heat
1175,Sun Apr 3 2022,9:00p,Golden State Warriors,109,Sacramento Kings,90,Golden 1 Center,19,Golden State Warriors Vs Sacramento Kings,Golden State Warriors
1176,Sun Apr 3 2022,9:30p,New Orleans Pelicans,100,Los Angeles Clippers,119,Crypto.com Arena,19,New Orleans Pelicans Vs Los Angeles Clippers,Los Angeles Clippers
1177,Tue Apr 5 2022,7:00p,Philadelphia 76ers,131,Indiana Pacers,122,Gainbridge Fieldhouse,9,Philadelphia 76ers Vs Indiana Pacers,Philadelphia 76ers
1178,Tue Apr 5 2022,7:00p,Cleveland Cavaliers,115,Orlando Magic,120,Amway Center,5,Cleveland Cavaliers Vs Orlando Magic,Orlando Magic
1179,Tue Apr 5 2022,7:30p,Houston Rockets,105,Brooklyn Nets,118,Barclays Center,13,Houston Rockets Vs Brooklyn Nets,Brooklyn Nets
1180,Tue Apr 5 2022,7:30p,Charlotte Hornets,115,Miami Heat,144,FTX Arena,29,Charlotte Hornets Vs Miami Heat,Miami Heat
1181,Tue Apr 5 2022,7:30p,Atlanta Hawks,108,Toronto Raptors,118,Scotiabank Arena,10,Atlanta Hawks Vs Toronto Raptors,Toronto Raptors
1182,Tue Apr 5 2022,8:00p,Milwaukee Bucks,127,Chicago Bulls,106,United Center,21,Milwaukee Bucks Vs Chicago Bulls,Milwaukee Bucks
1183,Tue Apr 5 2022,8:00p,Washington Wizards,132,Minnesota Timberwolves,114,Target Center,18,Washington Wizards Vs Minnesota Timberwolves,Washington Wizards
1184,Tue Apr 5 2022,8:00p,Portland Trail Blazers,94,Oklahoma City Thunder,98,Paycom Center,4,Portland Trail Blazers Vs Oklahoma City Thunder,Oklahoma City Thunder
1185,Tue Apr 5 2022,9:00p,San Antonio Spurs,116,Denver Nuggets,97,Ball Arena,19,San Antonio Spurs Vs Denver Nuggets,San Antonio Spurs
1186,Tue Apr 5 2022,9:00p,Memphis Grizzlies,115,Utah Jazz,121,Vivint Smart Home Arena,6,Memphis Grizzlies Vs Utah Jazz,Utah Jazz
1187,Tue Apr 5 2022,10:00p,New Orleans Pelicans,123,Sacramento Kings,109,Golden 1 Center,14,New Orleans Pelicans Vs Sacramento Kings,New Orleans Pelicans
1188,Tue Apr 5 2022,10:30p,Los Angeles Lakers,110,Phoenix Suns,121,Phoenix Suns Arena,11,Los Angeles Lakers Vs Phoenix Suns,Phoenix Suns
1189,Wed Apr 6 2022,7:00p,Dallas Mavericks,131,Detroit Pistons,113,Little Caesars Arena,18,Dallas Mavericks Vs Detroit Pistons,Dallas Mavericks
1190,Wed Apr 6 2022,7:30p,Brooklyn Nets,110,New York Knicks,98,Madison Square Garden (IV),12,Brooklyn Nets Vs New York Knicks,Brooklyn Nets
1191,Wed Apr 6 2022,8:00p,Washington Wizards,103,Atlanta Hawks,118,State Farm Arena,15,Washington Wizards Vs Atlanta Hawks,Atlanta Hawks
1192,Wed Apr 6 2022,8:00p,Boston Celtics,117,Chicago Bulls,94,United Center,23,Boston Celtics Vs Chicago Bulls,Boston Celtics
1193,Wed Apr 6 2022,9:00p,Oklahoma City Thunder,101,Utah Jazz,137,Vivint Smart Home Arena,36,Oklahoma City Thunder Vs Utah Jazz,Utah Jazz
1194,Wed Apr 6 2022,10:00p,Phoenix Suns,109,Los Angeles Clippers,113,Crypto.com Arena,4,Phoenix Suns Vs Los Angeles Clippers,Los Angeles Clippers
1195,Thu Apr 7 2022,7:00p,Orlando Magic,101,Charlotte Hornets,128,Spectrum Center,27,Orlando Magic Vs Charlotte Hornets,Charlotte Hornets
1196,Thu Apr 7 2022,7:30p,Boston Celtics,121,Milwaukee Bucks,127,Fiserv Forum,6,Boston Celtics Vs Milwaukee Bucks,Milwaukee Bucks
1197,Thu Apr 7 2022,7:30p,Philadelphia 76ers,114,Toronto Raptors,119,Scotiabank Arena,5,Philadelphia 76ers Vs Toronto Raptors,Toronto Raptors
1198,Thu Apr 7 2022,8:00p,San Antonio Spurs,121,Minnesota Timberwolves,127,Target Center,6,San Antonio Spurs Vs Minnesota Timberwolves,Minnesota Timberwolves
1199,Thu Apr 7 2022,8:00p,Portland Trail Blazers,94,New Orleans Pelicans,127,Smoothie King Center,33,Portland Trail Blazers Vs New Orleans Pelicans,New Orleans Pelicans
1200,Thu Apr 7 2022,9:00p,Memphis Grizzlies,109,Denver Nuggets,122,Ball Arena,13,Memphis Grizzlies Vs Denver Nuggets,Denver Nuggets
1201,Thu Apr 7 2022,10:00p,Los Angeles Lakers,112,Golden State Warriors,128,Chase Center,16,Los Angeles Lakers Vs Golden State Warriors,Golden State Warriors
1202,Fri Apr 8 2022,7:00p,Milwaukee Bucks,131,Detroit Pistons,101,Little Caesars Arena,30,Milwaukee Bucks Vs Detroit Pistons,Milwaukee Bucks
1203,Fri Apr 8 2022,7:00p,New York Knicks,114,Washington Wizards,92,Capital One Arena,22,New York Knicks Vs Washington Wizards,New York Knicks
1204,Fri Apr 8 2022,7:30p,Cleveland Cavaliers,107,Brooklyn Nets,118,Barclays Center,11,Cleveland Cavaliers Vs Brooklyn Nets,Brooklyn Nets
1205,Fri Apr 8 2022,7:30p,Houston Rockets,115,Toronto Raptors,117,Scotiabank Arena,2,Houston Rockets Vs Toronto Raptors,Toronto Raptors
1206,Fri Apr 8 2022,8:00p,Charlotte Hornets,133,Chicago Bulls,117,United Center,16,Charlotte Hornets Vs Chicago Bulls,Charlotte Hornets
1207,Fri Apr 8 2022,8:00p,Atlanta Hawks,109,Miami Heat,113,FTX Arena,4,Atlanta Hawks Vs Miami Heat,Miami Heat
1208,Fri Apr 8 2022,8:30p,Portland Trail Blazers,78,Dallas Mavericks,128,American Airlines Center,50,Portland Trail Blazers Vs Dallas Mavericks,Dallas Mavericks
1209,Fri Apr 8 2022,9:30p,Phoenix Suns,111,Utah Jazz,105,Vivint Smart Home Arena,6,Phoenix Suns Vs Utah Jazz,Phoenix Suns
1210,Fri Apr 8 2022,10:30p,Oklahoma City Thunder,101,Los Angeles Lakers,120,Crypto.com Arena,19,Oklahoma City Thunder Vs Los Angeles Lakers,Los Angeles Lakers
1211,Sat Apr 9 2022,1:00p,Indiana Pacers,120,Philadelphia 76ers,133,Wells Fargo Center,13,Indiana Pacers Vs Philadelphia 76ers,Philadelphia 76ers
1212,Sat Apr 9 2022,6:00p,New Orleans Pelicans,114,Memphis Grizzlies,141,FedEx Forum,27,New Orleans Pelicans Vs Memphis Grizzlies,Memphis Grizzlies
