Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
41,Malik Beasley\beaslma01,SG,25,MIN,57,1463,.381,20.2,,.284,.096,.078,.060,.050,.716,,.435,.603,.353,.333,.364,.359,,.642,.899,,.020,12,,.310,.366,,2,0
42,Jordan Bell\belljo01,C,27,CHI,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
43,DeAndre' Bembry\bembrde01,SF,27,BRK,48,949,.568,6.2,,.831,.573,.258,.000,.000,.169,,.599,.680,.418,,,.417,,.726,1.000,,.103,20,,.611,.545,,0,0
44,Dāvis Bertāns\bertada01,PF,29,WAS,34,501,.351,23.6,,.158,.053,.064,.023,.018,.842,,.519,.667,.545,.000,.667,.319,,.786,1.000,,.029,5,,.194,.571,,1,0
45,Patrick Beverley\beverpa01,PG,33,MIN,38,990,.406,16.5,,.468,.150,.235,.065,.017,.532,,.482,.545,.449,.526,.200,.340,,.242,.811,,.000,0,,.205,.469,,1,0
46,Saddiq Bey\beysa01,SF,22,DET,56,1878,.385,17.0,,.475,.186,.158,.072,.060,.525,,.436,.596,.331,.281,.404,.339,,.423,.886,,.027,20,,.223,.370,,6,0
47,Khem Birch\birchkh01,C,29,TOR,29,542,.486,6.6,,.928,.423,.315,.180,.009,.072,,.524,.574,.571,.350,.000,.000,,.870,,,.162,16,,.875,.000,,0,0
48,Goga Bitadze\bitadgo01,C,22,IND,34,387,.442,10.7,,.667,.457,.174,.022,.014,.333,,.576,.730,.208,.667,.000,.174,,.585,1.000,,.138,17,,.109,.200,,0,0
49,Bismack Biyombo\biyombi01,C,29,PHO,17,308,.615,4.1,,1.000,.521,.406,.063,.010,.000,,.615,.760,.487,.333,.000,,,.780,,,.250,24,,,,,0,0
50,Nemanja Bjelica\bjeline01,C,33,GSW,51,786,.448,14.9,,.541,.236,.255,.023,.027,.459,,.543,.705,.424,.333,.429,.336,,.658,.950,,.012,3,,.118,.429,,0,0
51,Eric Bledsoe\bledser01,PG,32,LAC,54,1361,.421,14.2,,.652,.231,.194,.107,.120,.348,,.479,.611,.462,.440,.286,.313,,.301,.902,,.002,1,,.129,.333,,2,0
52,Keljin Blevins\blevike01,SF,26,POR,12,73,.391,17.5,,.391,.217,.087,.043,.043,.609,,.333,.400,.500,.000,.000,.429,,1.000,.833,,.043,0,,.286,.500,,0,0
53,Bogdan Bogdanović\bogdabo01,SG,29,ATL,38,1094,.424,19.9,,.410,.105,.108,.105,.091,.590,,.503,.622,.457,.533,.385,.369,,.409,.817,,.000,0,,.234,.322,,3,0
54,Bojan Bogdanović\bogdabo02,PF,32,UTA,54,1673,.454,15.2,,.519,.158,.260,.082,.019,.481,,.527,.693,.476,.424,.286,.376,,.543,.923,,.021,11,,.376,.385,,0,0
55,Bol Bol\bolbo01,PF,22,DEN,14,81,.556,10.6,,.852,.296,.185,.296,.074,.148,,.609,.875,.800,.375,.000,.250,,1.000,1.000,,.222,5,,.250,.000,,0,0
56,Leandro Bolmaro\bolmale01,SF,21,MIN,25,188,.281,15.4,,.625,.344,.063,.063,.156,.375,,.350,.455,.500,.500,.000,.167,,.571,.500,,.031,1,,.333,.250,,1,0
57,Isaac Bonga\bongais01,SF,22,TOR,13,66,.231,11.0,,.692,.385,.231,.000,.077,.308,,.222,.200,.333,,.000,.250,,.500,1.000,,.000,0,,1.000,.250,,0,0
58,Devin Booker\bookede01,SG,25,PHO,49,1661,.447,16.3,,.655,.104,.149,.223,.179,.345,,.487,.660,.434,.458,.467,.369,,.400,.669,,.013,11,,.131,.370,,1,0
59,Brandon Boston Jr.\bostobr01,SG,20,LAC,39,605,.363,14.6,,.648,.254,.141,.105,.148,.352,,.404,.600,.111,.481,.289,.289,,.642,.577,,.074,14,,.233,.381,,1,0
60,Chris Boucher\bouchch01,PF,29,TOR,53,1067,.461,12.3,,.607,.409,.136,.030,.033,.393,,.576,.675,.420,.364,.167,.283,,.729,.976,,.127,44,,.172,.480,,1,0
61,James Bouknight\bouknja01,SG,21,CHO,27,288,.353,12.2,,.640,.331,.235,.037,.037,.360,,.356,.556,.156,.000,.200,.347,,.452,.765,,.029,4,,.224,.364,,0,0
62,Avery Bradley\bradlav01,SG,31,LAL,49,1165,.411,17.8,,.411,.144,.097,.080,.090,.589,,.455,.605,.310,.458,.370,.381,,.643,.940,,.003,1,,.551,.381,,0,0
63,Tony Bradley\bradlto01,C,24,CHI,43,488,.585,3.4,,1.000,.660,.245,.038,.057,.000,,.585,.657,.462,.250,.500,,,.758,,,.151,13,,,,,0,0
64,Ignas Brazdeikis\brazdig01,SF,23,ORL,27,239,.356,13.8,,.534,.301,.205,.027,.000,.466,,.410,.455,.400,.000,,.294,,.438,.900,,.000,0,,.382,.308,,0,0
65,Mikal Bridges\bridgmi01,SF,25,PHO,56,1945,.528,13.6,,.619,.226,.192,.147,.054,.381,,.623,.817,.626,.463,.233,.373,,.791,.975,,.075,39,,.585,.387,,0,0
66,Miles Bridges\bridgmi02,PF,23,CHO,56,2009,.482,12.5,,.618,.350,.220,.021,.027,.382,,.591,.716,.426,.500,.391,.307,,.574,.830,,.103,80,,.242,.316,,4,0
67,Oshae Brissett\brissos01,SF,23,IND,45,897,.410,13.3,,.545,.343,.164,.034,.004,.455,,.466,.587,.273,.222,.000,.344,,.618,.952,,.075,18,,.377,.391,,2,0
68,Malcolm Brogdon\brogdma01,PG,29,IND,28,934,.448,14.0,,.635,.253,.190,.102,.090,.365,,.529,.673,.436,.405,.459,.307,,.232,.587,,.012,4,,.160,.292,,1,0
69,Armoni Brooks\brookar01,SG,23,HOU,41,690,.347,23.2,,.151,.092,.036,.012,.012,.849,,.605,.739,.556,.000,.333,.300,,.652,.813,,.016,3,,.131,.250,,1,0
70,Dillon Brooks\brookdi01,SF,26,MEM,21,587,.426,12.9,,.703,.238,.238,.162,.065,.297,,.469,.654,.358,.382,.409,.327,,.518,.879,,.035,9,,.178,.389,,2,0
71,Bruce Brown\brownbr01,SF,25,BRK,47,964,.480,7.6,,.848,.408,.336,.092,.012,.152,,.509,.667,.381,.348,.000,.316,,.704,1.000,,.072,17,,.816,.323,,0,0
72,Charlie Brown Jr.\brownch02,SG,24,TOT,18,166,.250,11.0,,.667,.417,.167,.083,.000,.333,,.333,.467,.167,.000,,.083,,.500,1.000,,.083,2,,.167,.000,,0,0
72,Charlie Brown Jr.\brownch02,SG,24,DAL,3,15,.200,17.2,,.400,.200,.000,.200,.000,.600,,.500,1.000,,.000,,.000,,.000,,,.200,1,,.333,.000,,0,0
72,Charlie Brown Jr.\brownch02,SG,24,PHI,15,151,.258,10.0,,.710,.452,.194,.065,.000,.290,,.318,.429,.167,.000,,.111,,.571,1.000,,.065,1,,.111,.000,,0,0
73,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,104,.313,17.9,,.438,.188,.094,.156,.000,.563,,.286,.500,.000,.200,,.333,,.500,1.000,,.000,0,,.222,.250,,1,0
73,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,.143,13.2,,.571,.286,.143,.143,.000,.429,,.250,.500,.000,.000,,.000,,.000,,,.000,0,,.333,.000,,0,0
73,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,.360,19.2,,.400,.160,.080,.160,.000,.600,,.300,.500,.000,.250,,.400,,.667,1.000,,.000,0,,.200,.333,,1,0
74,Greg Brown III\browngr01,SF,20,POR,26,190,.446,9.7,,.716,.554,.081,.014,.068,.284,,.547,.659,.167,.000,.200,.190,,.655,1.000,,.365,22,,.429,.222,,0,0
75,Jaylen Brown\brownja02,SF,25,BOS,44,1512,.455,15.9,,.597,.179,.214,.096,.109,.403,,.530,.757,.395,.481,.467,.342,,.466,.816,,.027,17,,.210,.371,,2,0
76,Moses Brown\brownmo01,C,22,DAL,26,169,.540,2.3,,1.000,.780,.200,.020,.000,.000,,.540,.590,.400,.000,,,,.852,,,.540,19,,,,,0,0
77,Sterling Brown\brownst02,SG,26,DAL,36,513,.398,17.8,,.383,.195,.102,.039,.047,.617,,.490,.600,.308,.200,.667,.342,,.792,.852,,.000,0,,.468,.270,,1,0
78,Troy Brown Jr.\browntr01,SF,22,CHI,46,820,.405,14.5,,.510,.290,.155,.015,.050,.490,,.480,.552,.387,.000,.500,.327,,.673,.969,,.030,4,,.622,.328,,2,0
79,Jalen Brunson\brunsja01,PG,25,DAL,56,1784,.502,13.0,,.762,.145,.288,.195,.135,.238,,.547,.702,.536,.514,.454,.357,,.237,.787,,.007,5,,.275,.489,,0,0
80,Thomas Bryant\bryanth01,C,24,WAS,13,218,.494,12.2,,.679,.346,.173,.037,.123,.321,,.564,.679,.500,.000,.500,.346,,.710,1.000,,.148,12,,.192,.400,,0,0
81,Shaq Buchanan\buchash01,PG,25,MEM,2,10,.250,13.6,,.500,.500,.000,.000,.000,.500,,.500,.500,,,,.000,,1.000,,,.000,0,,.000,,,0,0
82,Reggie Bullock\bullore01,SF,30,DAL,49,1242,.415,20.7,,.236,.096,.048,.039,.054,.764,,.582,.719,.438,.692,.389,.363,,.826,.978,,.003,1,,.441,.425,,0,0
83,Trey Burke\burketr01,PG,29,DAL,32,346,.415,17.7,,.596,.094,.135,.123,.246,.404,,.471,.750,.478,.476,.357,.333,,.250,.826,,.000,0,,.130,.667,,0,0
84,Alec Burks\burksal01,SG,30,NYK,56,1490,.383,17.0,,.482,.143,.172,.104,.064,.518,,.373,.420,.349,.340,.387,.392,,.425,.755,,.004,2,,.208,.442,,0,0
85,Jared Butler\butleja02,SG,21,UTA,27,210,.409,17.4,,.466,.091,.227,.091,.057,.534,,.463,.500,.350,.625,.600,.362,,.211,.412,,.000,0,,.170,.250,,1,0
86,Jimmy Butler\butleji01,SF,32,MIA,38,1284,.491,9.1,,.878,.320,.288,.200,.070,.122,,.531,.725,.425,.441,.333,.206,,.402,.714,,.058,28,,.485,.273,,1,0
87,Devontae Cacok\cacokde01,PF,25,SAS,10,80,.696,4.4,,1.000,.391,.478,.130,.000,.000,,.696,.778,.636,.667,,,,.750,,,.087,2,,,,,0,0
88,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,52,1523,.407,18.0,,.486,.108,.121,.108,.148,.514,,.448,.661,.270,.411,.468,.367,,.655,.939,,.013,4,,.412,.418,,0,0
89,Facundo Campazzo\campafa01,PG,30,DEN,53,1077,.379,19.0,,.357,.143,.151,.044,.018,.643,,.485,.641,.390,.250,.600,.320,,.404,.768,,.004,0,,.206,.306,,6,0
90,Vlatko Čančar\cancavl01,PF,24,DEN,14,152,.564,11.0,,.692,.359,.205,.103,.026,.308,,.556,.786,.375,.250,.000,.583,,.933,1.000,,.026,1,,.417,.400,,0,0
91,Clint Capela\capelca01,C,27,ATL,48,1348,.588,2.8,,.997,.746,.236,.008,.008,.003,,.589,.680,.309,.667,.333,.000,,.756,,,.294,107,,.000,,,1,0
92,Vernon Carey Jr.\careyve01,C,20,TOT,5,18,.500,7.6,,1.000,.667,.000,.000,.333,.000,,.500,.750,,,.000,,,.333,,,.000,0,,,,,0,0
92,Vernon Carey Jr.\careyve01,C,20,CHO,4,17,.500,7.6,,1.000,.667,.000,.000,.333,.000,,.500,.750,,,.000,,,.333,,,.000,0,,,,,0,0
92,Vernon Carey Jr.\careyve01,C,20,WAS,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
