Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
235,Solomon Hill\hillso01,PF,30,ATL,13,139,.150,17.9,,.350,.250,.100,.000,.000,.650,,.143,.200,.000,,,.154,,1.000,1.000,,.000,0,,.231,.333,,1,0
236,Nate Hinton\hintona01,SG,22,IND,2,2,.000,8.1,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0
237,Jaylen Hoard\hoardja01,SF,22,OKC,1,2,.000,4.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0
238,Aaron Holiday\holidaa01,PG,25,TOT,42,672,.475,13.1,,.680,.174,.315,.164,.027,.320,,.530,.605,.536,.500,.167,.357,,.367,.760,,.000,0,,.171,.417,,0,0
238,Aaron Holiday\holidaa01,PG,25,WAS,41,663,.467,12.9,,.687,.178,.318,.164,.028,.313,,.524,.605,.529,.486,.167,.343,,.364,.739,,.000,0,,.179,.417,,0,0
238,Aaron Holiday\holidaa01,PG,25,PHO,1,9,.800,19.8,,.400,.000,.200,.200,.000,.600,,1.000,,1.000,1.000,,.667,,.500,1.000,,.000,0,,.000,,,0,0
239,Jrue Holiday\holidjr01,PG,31,MIL,44,1442,.505,12.9,,.681,.236,.266,.119,.061,.319,,.553,.612,.482,.608,.526,.402,,.179,.425,,.006,4,,.106,.381,,0,0
240,Justin Holiday\holidju01,SF-SG,32,TOT,51,1476,.411,20.9,,.270,.103,.042,.048,.078,.730,,.504,.653,.350,.478,.405,.376,,.831,.962,,.019,7,,.290,.396,,1,0
240,Justin Holiday\holidju01,SF,32,IND,49,1416,.415,21.1,,.266,.100,.037,.050,.079,.734,,.516,.674,.353,.478,.417,.378,,.825,.969,,.017,7,,.292,.398,,1,0
240,Justin Holiday\holidju01,SG,32,SAC,2,60,.316,17.9,,.368,.158,.158,.000,.053,.632,,.286,.333,.333,,.000,.333,,1.000,.750,,.053,0,,.250,.333,,0,0
241,Richaun Holmes\holmeri01,C,28,SAC,39,980,.684,5.5,,.982,.513,.262,.196,.011,.018,,.689,.794,.556,.593,.667,.400,,.753,1.000,,.240,61,,.000,,,0,0
242,Rodney Hood\hoodro01,SF,29,MIL,39,581,.351,19.9,,.389,.099,.084,.084,.122,.611,,.431,.846,.273,.455,.188,.300,,.545,.917,,.008,1,,.300,.333,,0,0
243,Scotty Hopson\hopsosc01,SG,32,OKC,1,18,.500,17.3,,.750,.000,.250,.000,.500,.250,,.667,,.000,,1.000,.000,,.500,,,.000,0,,.000,,,0,0
244,Al Horford\horfoal01,C,35,BOS,49,1388,.438,15.6,,.536,.165,.242,.074,.055,.464,,.558,.754,.485,.548,.304,.299,,.648,.966,,.055,22,,.258,.400,,0,0
245,Talen Horton-Tucker\hortota01,SG,21,LAL,41,1057,.414,12.5,,.656,.339,.178,.086,.053,.344,,.483,.598,.359,.323,.421,.282,,.474,.886,,.036,11,,.210,.385,,0,0
246,Danuel House Jr.\houseda01,SF,28,TOT,24,371,.386,15.9,,.482,.263,.105,.053,.061,.518,,.436,.533,.250,.333,.429,.339,,.708,.900,,.070,3,,.390,.304,,1,0
246,Danuel House Jr.\houseda01,SF,28,HOU,16,233,.338,15.2,,.541,.311,.081,.068,.081,.459,,.375,.391,.167,.400,.500,.294,,.800,.800,,.095,2,,.353,.250,,1,0
246,Danuel House Jr.\houseda01,SF,28,NYK,1,3,.000,27.0,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0
246,Danuel House Jr.\houseda01,SF,28,UTA,7,135,.487,17.0,,.385,.179,.154,.026,.026,.615,,.600,1.000,.333,.000,.000,.417,,.556,1.000,,.026,1,,.458,.364,,0,0
247,Dwight Howard\howardw01,C,36,LAL,41,594,.621,4.0,,.927,.710,.194,.016,.008,.073,,.617,.693,.417,.000,.000,.667,,.648,.833,,.234,22,,.111,1.000,,0,0
248,Markus Howard\howarma02,SG,22,DEN,22,134,.370,21.1,,.274,.068,.082,.055,.068,.726,,.200,.200,.167,.250,.200,.434,,.250,.870,,.000,0,,.283,.533,,0,0
249,Kevin Huerter\huertke01,SG,23,ATL,49,1424,.459,17.5,,.486,.112,.149,.147,.079,.514,,.553,.722,.528,.493,.474,.369,,.531,.880,,.002,1,,.257,.359,,2,0
250,Jay Huff\huffja01,C,23,LAL,4,20,.000,19.9,,.333,.000,.333,.000,.000,.667,,.000,,.000,,,.000,,,,,.000,0,,.000,,,0,0
251,Elijah Hughes\hugheel01,SF-SG,23,TOT,15,123,.405,22.6,,.214,.095,.048,.048,.024,.786,,.667,.750,1.000,.500,.000,.333,,.833,.909,,.024,1,,.394,.308,,1,0
251,Elijah Hughes\hugheel01,SF,23,UTA,14,112,.417,21.1,,.222,.111,.056,.028,.028,.778,,.625,.750,1.000,.000,.000,.357,,.800,.900,,.028,1,,.393,.364,,0,0
251,Elijah Hughes\hugheel01,SG,23,POR,1,11,.333,31.6,,.167,.000,.000,.167,.000,.833,,1.000,,,1.000,,.200,,1.000,1.000,,.000,0,,.400,.000,,1,0
252,De'Andre Hunter\huntede01,SF,24,ATL,28,811,.442,15.0,,.661,.196,.186,.146,.133,.339,,.472,.627,.411,.477,.325,.382,,.649,.897,,.030,8,,.382,.410,,0,0
253,Chandler Hutchison\hutchch01,SF,25,PHO,6,22,.500,5.0,,1.000,.500,.500,.000,.000,.000,,.500,.000,1.000,,,,,1.000,,,.000,0,,,,,0,0
254,Bones Hyland\hylanbo01,PG,21,DEN,44,784,.370,19.2,,.382,.120,.137,.083,.043,.618,,.410,.619,.229,.345,.533,.346,,.382,.693,,.011,3,,.161,.286,,2,0
255,Serge Ibaka\ibakase01,C,32,LAC,35,538,.490,13.9,,.677,.182,.271,.120,.104,.323,,.538,.743,.519,.435,.350,.387,,.700,1.000,,.068,12,,.032,.500,,0,0
256,Andre Iguodala\iguodan01,SF,38,GSW,26,518,.392,17.5,,.402,.216,.118,.020,.049,.598,,.634,.727,.667,.000,.400,.230,,.615,.929,,.167,15,,.328,.200,,2,0
257,Joe Ingles\inglejo01,SF,34,UTA,45,1122,.404,21.3,,.211,.039,.147,.014,.011,.789,,.617,.818,.619,.250,.333,.347,,.595,.756,,.000,0,,.187,.405,,0,0
258,Brandon Ingram\ingrabr01,SF,24,NOP,42,1448,.451,14.5,,.755,.152,.157,.230,.217,.245,,.486,.667,.421,.492,.401,.344,,.420,.892,,.048,32,,.143,.444,,1,0
259,Kyrie Irving\irvinky01,PG,29,BRK,14,507,.452,16.0,,.662,.089,.203,.214,.157,.338,,.495,.720,.526,.450,.386,.368,,.239,.571,,.000,0,,.116,.273,,0,0
260,Wes Iwundu\iwundwe01,SF,27,ATL,3,82,.444,12.3,,.722,.278,.167,.111,.167,.278,,.385,.400,.333,.000,.667,.600,,.600,.667,,.000,0,,.600,.333,,0,0
261,Frank Jackson\jacksfr01,PG,23,DET,43,968,.410,17.8,,.408,.157,.144,.075,.032,.592,,.543,.762,.310,.533,.538,.319,,.663,.934,,.010,4,,.357,.412,,0,0
262,Isaiah Jackson\jacksis01,PF,20,IND,20,193,.542,4.9,,.916,.590,.253,.048,.024,.084,,.553,.653,.429,.000,.500,.429,,.667,1.000,,.217,15,,.000,,,0,0
263,Jaren Jackson Jr.\jacksja02,PF,22,MEM,57,1591,.418,13.3,,.601,.226,.315,.056,.004,.399,,.483,.636,.388,.409,.333,.322,,.566,.980,,.047,32,,.190,.288,,1,0
264,Josh Jackson\jacksjo02,SF,24,DET,39,707,.410,15.2,,.550,.243,.163,.056,.088,.450,,.529,.721,.390,.429,.318,.265,,.507,.867,,.052,9,,.257,.207,,0,0
265,Justin Jackson\jacksju01,SF,26,TOT,7,37,.333,19.9,,.400,.000,.200,.067,.133,.600,,.333,,.667,.000,.000,.333,,1.000,1.000,,.000,0,,.111,1.000,,0,0
265,Justin Jackson\jacksju01,SF,26,BOS,1,2,.000,20.9,,1.000,.000,.000,.000,1.000,.000,,.000,,,,.000,,,,,,.000,0,,,,,0,0
265,Justin Jackson\jacksju01,SF,26,PHO,6,35,.357,19.8,,.357,.000,.214,.071,.071,.643,,.400,,.667,.000,.000,.333,,1.000,1.000,,.000,0,,.111,1.000,,0,0
266,Reggie Jackson\jacksre01,SG,31,LAC,54,1659,.397,16.7,,.556,.134,.192,.101,.129,.444,,.451,.605,.457,.419,.309,.330,,.210,.616,,.009,6,,.193,.370,,2,0
267,LeBron James\jamesle01,SF,37,LAL,40,1469,.520,14.0,,.627,.321,.130,.077,.099,.373,,.619,.790,.482,.400,.417,.352,,.387,.586,,.070,59,,.067,.286,,0,0
268,DeJon Jarreau\jarrede01,SG,24,IND,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
269,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,9,.500,12.1,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,1.000,,,.500,1,,1.000,.000,,0,0
270,Ty Jerome\jeromty01,SG,24,OKC,47,782,.374,18.2,,.433,.072,.240,.109,.012,.567,,.496,.478,.481,.571,.250,.280,,.304,.804,,.000,0,,.159,.448,,1,0
271,Isaiah Joe\joeis01,SG,22,PHI,40,493,.355,22.2,,.232,.087,.036,.029,.080,.768,,.438,.667,.400,.500,.182,.330,,.643,1.000,,.029,4,,.302,.375,,1,0
272,Alize Johnson\johnsal02,PF,25,TOT,19,139,.483,7.2,,.862,.517,.310,.034,.000,.138,,.560,.600,.556,.000,,.000,,.500,,,.000,0,,.500,.000,,1,0
272,Alize Johnson\johnsal02,PF,25,CHI,16,121,.522,6.6,,.913,.478,.391,.043,.000,.087,,.571,.636,.556,.000,,.000,,.583,,,.000,0,,.500,.000,,1,0
272,Alize Johnson\johnsal02,PF,25,WAS,3,18,.333,9.7,,.667,.667,.000,.000,.000,.333,,.500,.500,,,,.000,,.000,,,.000,0,,.500,.000,,0,0
273,B.J. Johnson\johnsbj01,SF,26,ORL,4,65,.440,16.9,,.600,.200,.080,.120,.200,.400,,.467,.400,.000,.667,.600,.400,,.714,1.000,,.040,1,,.200,.500,,0,0
274,Cameron Johnson\johnsca02,PF,25,PHO,53,1379,.461,18.6,,.357,.131,.133,.049,.044,.643,,.515,.742,.492,.261,.190,.431,,.701,.985,,.038,17,,.378,.470,,1,0
275,David Johnson\johnsda08,SG,20,TOR,2,2,.000,26.1,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0
276,Jalen Johnson\johnsja05,PF,20,ATL,13,58,.474,13.3,,.632,.368,.053,.105,.105,.368,,.500,.857,.000,.000,.000,.429,,1.000,1.000,,.105,2,,.429,.333,,0,0
277,James Johnson\johnsja01,PF,34,BRK,41,778,.488,8.4,,.758,.521,.185,.033,.019,.242,,.556,.655,.385,.143,.250,.275,,.494,.857,,.090,17,,.451,.304,,0,0
278,Joe Johnson\johnsjo02,SG,40,BOS,1,2,1.000,18.1,,1.000,.000,.000,.000,1.000,.000,,1.000,,,,1.000,,,.000,,,.000,0,,,,,0,0
279,Keldon Johnson\johnske04,SF,22,SAS,53,1653,.469,13.0,,.635,.197,.322,.079,.038,.365,,.490,.631,.432,.404,.440,.432,,.641,.962,,.029,18,,.253,.525,,0,0
280,Keon Johnson\johnske07,SG,19,LAC,15,135,.333,11.0,,.784,.294,.255,.098,.137,.216,,.350,.600,.308,.200,.000,.273,,.714,.667,,.059,3,,.545,.167,,0,0
281,Stanley Johnson\johnsst04,PF,25,LAL,23,509,.487,13.4,,.573,.282,.188,.060,.043,.427,,.612,.788,.364,.714,.400,.320,,.561,.938,,.000,0,,.460,.304,,0,0
282,Tyler Johnson\johnsty01,PG,29,TOT,6,91,.300,22.2,,.350,.000,.000,.150,.200,.650,,.143,,,.000,.250,.385,,1.000,1.000,,.000,0,,.308,.250,,0,0
282,Tyler Johnson\johnsty01,PG,29,PHI,3,38,.400,23.6,,.300,.000,.000,.100,.200,.700,,.333,,,.000,.500,.429,,1.000,1.000,,.000,0,,.000,,,0,0
282,Tyler Johnson\johnsty01,PG,29,SAS,3,53,.200,20.8,,.400,.000,.000,.200,.200,.600,,.000,,,.000,.000,.333,,,1.000,,.000,0,,.667,.250,,0,0
283,Nikola Jokić\jokicni01,C,26,DEN,50,1649,.576,10.8,,.752,.291,.329,.088,.044,.248,,.644,.775,.589,.560,.368,.368,,.576,.949,,.032,25,,.042,.222,,2,0
284,Carlik Jones\jonesca03,PG,24,TOT,5,23,.111,10.1,,.889,.333,.111,.333,.111,.111,,.125,.333,.000,.000,.000,.000,,.000,,,.000,0,,1.000,.000,,0,0
284,Carlik Jones\jonesca03,PG,24,DAL,3,19,.000,10.0,,.857,.286,.143,.429,.000,.143,,.000,.000,.000,.000,,.000,,,,,.000,0,,1.000,.000,,0,0
284,Carlik Jones\jonesca03,PG,24,DEN,2,4,.500,10.2,,1.000,.500,.000,.000,.500,.000,,.500,1.000,,,.000,,,.000,,,.000,0,,,,,0,0
285,Damian Jones\jonesda03,C,26,SAC,37,564,.638,7.3,,.901,.511,.234,.050,.106,.099,,.669,.861,.303,.429,.667,.357,,.800,1.000,,.291,34,,.214,.333,,1,0
286,Derrick Jones Jr.\jonesde02,PF,24,CHI,32,556,.567,8.8,,.701,.551,.134,.008,.008,.299,,.640,.729,.235,1.000,1.000,.395,,.719,1.000,,.220,27,,.684,.462,,0,0
287,Herbert Jones\joneshe01,PF,23,NOP,53,1587,.497,10.4,,.734,.432,.201,.013,.089,.266,,.546,.681,.338,.600,.353,.363,,.669,1.000,,.117,38,,.500,.353,,1,0
288,Jemerrio Jones\jonesje01,SF,26,LAL,2,15,.667,2.7,,1.000,.667,.333,.000,.000,.000,,.667,1.000,.000,,,,,.500,,,.000,0,,,,,0,0
289,Kai Jones\joneska01,C,21,CHO,17,48,.636,9.0,,.818,.455,.182,.091,.091,.182,,.667,1.000,.500,.000,.000,.500,,.833,1.000,,.455,5,,.500,1.000,,0,0
290,Mason Jones\jonesma05,SG,23,LAL,2,9,.250,8.8,,.750,.375,.375,.000,.000,.250,,.333,.667,.000,,,.000,,.500,,,.000,0,,.000,,,0,0
291,Tre Jones\jonestr01,PG,22,SAS,45,607,.506,8.3,,.889,.350,.328,.194,.017,.111,,.550,.635,.492,.514,.333,.150,,.466,1.000,,.011,1,,.450,.111,,0,0
292,Tyus Jones\jonesty01,PG,25,MEM,51,1047,.454,14.8,,.640,.111,.249,.231,.049,.360,,.509,.615,.471,.506,.471,.357,,.386,.800,,.000,0,,.206,.423,,0,0
293,DeAndre Jordan\jordade01,C,33,LAL,31,399,.670,1.8,,1.000,.795,.193,.000,.011,.000,,.670,.743,.412,,.000,,,.797,,,.568,45,,,,,0,0
294,Cory Joseph\josepco01,PG,30,DET,45,1082,.450,14.6,,.624,.216,.223,.057,.128,.376,,.466,.607,.444,.375,.306,.425,,.390,.822,,.004,0,,.226,.500,,2,0
295,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,48,.455,13.4,,.636,.182,.273,.182,.000,.364,,.429,.500,.667,.000,,.500,,.333,1.000,,.000,0,,.000,,,0,0
296,Frank Kaminsky\kaminfr01,C,28,PHO,9,181,.545,9.2,,.773,.303,.394,.061,.015,.227,,.608,.650,.577,.750,.000,.333,,.710,1.000,,.076,4,,.067,.000,,0,0
297,Luke Kennard\kennalu01,SG,25,LAC,48,1341,.438,20.8,,.331,.053,.084,.128,.066,.669,,.455,.565,.459,.464,.345,.430,,.591,.921,,.000,0,,.143,.429,,0,0
298,Braxton Key\keybr01,SF,24,PHI,2,6,.500,12.7,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,.000,,,.000,0,,.000,,,0,0
299,George King\kingge03,SF,28,DAL,4,19,.000,19.6,,.200,.000,.200,.000,.000,.800,,.000,,.000,,,.000,,,,,.000,0,,.750,.000,,0,0
300,Louis King\kinglo02,SF,22,SAC,10,104,.319,20.1,,.426,.021,.128,.085,.191,.574,,.350,1.000,.333,.250,.333,.296,,.429,.750,,.000,0,,.296,.375,,0,0
301,Corey Kispert\kispeco01,SF,22,WAS,50,955,.423,17.2,,.423,.176,.172,.043,.032,.577,,.568,.735,.458,.417,.444,.317,,.776,.961,,.022,5,,.317,.412,,0,0
302,Maxi Kleber\klebima01,PF,30,DAL,40,1001,.421,20.5,,.258,.129,.058,.046,.025,.742,,.581,.935,.214,.273,.167,.365,,.806,.985,,.042,10,,.247,.341,,1,0
303,Brandon Knight\knighbr03,PG,30,DAL,3,54,.450,17.5,,.350,.300,.050,.000,.000,.650,,.714,.833,.000,,,.308,,.800,.750,,.000,0,,.077,.000,,0,0
304,Nathan Knight\knighna01,PF,24,MIN,28,194,.482,5.6,,.857,.589,.250,.018,.000,.143,,.521,.606,.357,.000,,.250,,.760,1.000,,.179,7,,.375,.333,,0,0
305,Kevin Knox\knoxke01,SF,22,TOT,20,157,.375,19.2,,.321,.161,.071,.071,.018,.679,,.556,1.000,.250,.000,.000,.289,,.700,1.000,,.089,5,,.289,.364,,1,0
305,Kevin Knox\knoxke01,SF,22,NYK,13,111,.375,20.0,,.300,.125,.075,.075,.025,.700,,.417,1.000,.000,.000,.000,.357,,.600,1.000,,.050,2,,.250,.429,,1,0
305,Kevin Knox\knoxke01,SF,22,ATL,7,46,.375,17.3,,.375,.250,.063,.063,.000,.625,,.833,1.000,1.000,.000,,.100,,.800,1.000,,.188,3,,.400,.250,,0,0
306,John Konchar\konchjo01,SG,25,MEM,50,925,.500,14.5,,.505,.324,.088,.055,.038,.495,,.576,.678,.500,.400,.143,.422,,.585,.947,,.071,11,,.522,.404,,0,0
307,Furkan Korkmaz\korkmfu01,SG,24,PHI,49,1175,.393,17.3,,.451,.189,.156,.048,.058,.549,,.520,.747,.339,.526,.261,.289,,.505,.841,,.020,6,,.197,.302,,2,0
308,Luke Kornet\kornelu01,C,26,TOT,3,18,.167,8.4,,.833,.500,.167,.167,.000,.167,,.200,.333,.000,.000,,.000,,1.000,,,.000,0,,.000,,,0,0
308,Luke Kornet\kornelu01,C,26,CLE,2,15,.200,7.7,,.800,.600,.200,.000,.000,.200,,.250,.333,.000,,,.000,,1.000,,,.000,0,,.000,,,0,0
308,Luke Kornet\kornelu01,C,26,MIL,1,3,.000,11.9,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0
309,Vit Krejci\krejcvi01,SG,21,OKC,4,18,.400,16.6,,.400,.400,.000,.000,.000,.600,,1.000,1.000,,,,.000,,1.000,,,.200,1,,.000,,,0,0
310,Arnoldas Kulboka\kulboar01,SF,24,CHO,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
311,Jonathan Kuminga\kuminjo01,SF,19,GSW,45,631,.504,10.9,,.673,.339,.295,.031,.008,.327,,.596,.756,.467,.250,.000,.313,,.618,1.000,,.173,41,,.349,.241,,1,0
312,Kyle Kuzma\kuzmaky01,PF,26,WAS,52,1719,.455,14.7,,.587,.171,.266,.098,.052,.413,,.542,.797,.467,.441,.278,.332,,.509,.916,,.029,17,,.241,.333,,0,0
313,Anthony Lamb\lamban01,SF,24,SAS,2,8,.000,27.1,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0
314,Jeremy Lamb\lambje01,SF-SG,29,TOT,40,644,.372,18.2,,.477,.079,.184,.151,.063,.523,,.412,.474,.409,.389,.400,.336,,.319,.881,,.000,0,,.200,.320,,4,0
314,Jeremy Lamb\lambje01,SF,29,IND,39,613,.373,18.0,,.487,.083,.184,.154,.066,.513,,.414,.474,.405,.400,.400,.333,,.326,.897,,.000,0,,.205,.333,,3,0
314,Jeremy Lamb\lambje01,SG,29,SAC,1,31,.364,21.9,,.273,.000,.182,.091,.000,.727,,.333,,.500,.000,,.375,,.000,.667,,.000,0,,.125,.000,,1,0
315,Jock Landale\landajo01,C,26,SAS,36,366,.488,13.3,,.558,.372,.140,.023,.023,.442,,.597,.708,.389,.000,.667,.351,,.744,1.000,,.124,15,,.123,.429,,0,0
316,Romeo Langford\langfro01,SG,22,BOS,44,728,.429,15.6,,.549,.207,.228,.076,.038,.451,,.495,.711,.357,.429,.286,.349,,.700,.966,,.043,7,,.518,.326,,1,0
317,Zach LaVine\lavinza01,SF,26,CHI,47,1624,.482,15.2,,.604,.270,.091,.097,.145,.396,,.536,.709,.462,.349,.387,.399,,.373,.578,,.057,47,,.136,.587,,0,0
318,Jake Layman\laymaja01,SF,27,MIN,23,169,.367,14.9,,.469,.286,.122,.041,.020,.531,,.609,.786,.167,.500,1.000,.154,,.643,1.000,,.041,2,,.615,.188,,0,0
319,Damion Lee\leeda03,SG,29,GSW,46,934,.455,17.0,,.490,.161,.140,.096,.092,.510,,.538,.809,.463,.357,.370,.376,,.766,.982,,.007,2,,.383,.351,,1,0
320,Saben Lee\leesa01,PG,22,DET,28,407,.377,11.5,,.639,.402,.197,.033,.008,.361,,.436,.531,.292,.250,.000,.273,,.353,.833,,.066,6,,.273,.250,,0,0
321,Alex Len\lenal01,C,28,SAC,33,557,.529,7.0,,.877,.419,.335,.116,.006,.123,,.559,.738,.404,.389,.000,.316,,.763,1.000,,.168,23,,.316,.333,,0,0
322,Caris LeVert\leverca01,SG,27,TOT,42,1309,.445,12.8,,.705,.199,.260,.216,.030,.295,,.495,.632,.454,.424,.450,.325,,.288,.594,,.022,15,,.132,.346,,0,0
322,Caris LeVert\leverca01,SG,27,IND,39,1214,.447,13.0,,.696,.195,.259,.211,.032,.304,,.501,.661,.453,.420,.450,.323,,.295,.574,,.024,15,,.138,.346,,0,0
322,Caris LeVert\leverca01,SG,27,CLE,3,95,.413,10.2,,.826,.261,.283,.283,.000,.174,,.421,.333,.462,.462,,.375,,.188,1.000,,.000,0,,.000,,,0,0
323,Kira Lewis Jr.\lewiski01,PG,20,NOP,24,341,.404,14.8,,.603,.267,.171,.103,.062,.397,,.523,.718,.400,.333,.333,.224,,.457,.846,,.027,3,,.241,.286,,3,0
324,Scottie Lewis\lewissc01,SG,21,CHO,2,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
325,Damian Lillard\lillada01,PG,31,POR,29,1056,.402,17.9,,.486,.239,.071,.074,.101,.514,,.485,.561,.308,.439,.464,.324,,.192,.446,,.005,2,,.056,.375,,0,0
326,Nassir Little\littlna01,SF,21,POR,42,1088,.460,14.9,,.511,.283,.140,.038,.051,.489,,.584,.742,.386,.333,.438,.331,,.691,.922,,.114,32,,.279,.372,,0,0
327,Isaiah Livers\liveris01,SF,23,DET,1,5,.000,25.2,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0
328,Kevon Looney\looneke01,C,25,GSW,57,1217,.545,4.5,,.996,.552,.306,.060,.078,.004,,.547,.649,.500,.313,.190,.000,,.692,,,.224,59,,.000,,,0,0
329,Brook Lopez\lopezbr01,C,33,MIL,1,28,.333,17.0,,.556,.111,.111,.222,.111,.444,,.200,1.000,.000,.000,.000,.500,,1.000,1.000,,.111,1,,.500,.500,,0,0
330,Robin Lopez\lopezro01,C,33,ORL,26,459,.569,6.1,,.969,.281,.625,.050,.013,.031,,.574,.689,.550,.250,.500,.400,,.517,1.000,,.044,7,,.200,1.000,,0,0
331,Didi Louzada\louzama01,SF,22,NOP,2,7,.000,25.1,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.333,.000,,0,0
332,Kevin Love\loveke01,PF,33,CLE,49,1091,.426,19.4,,.401,.109,.110,.091,.091,.599,,.478,.679,.491,.383,.319,.392,,.566,.926,,.006,2,,.159,.367,,1,0
333,Kyle Lowry\lowryky01,PG,35,MIA,44,1493,.419,19.4,,.410,.123,.104,.095,.088,.590,,.532,.732,.468,.395,.475,.340,,.313,.681,,.000,0,,.153,.390,,3,0
334,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,35,447,.391,18.1,,.320,.211,.063,.039,.008,.680,,.439,.444,.375,.600,.000,.368,,.778,.969,,.031,4,,.448,.487,,0,0
335,Trey Lyles\lylestr01,PF,26,DET,51,990,.456,13.2,,.620,.284,.216,.073,.047,.380,,.550,.651,.530,.321,.389,.301,,.588,1.000,,.039,14,,.205,.333,,1,0
336,Théo Maledon\maledth01,PG,20,OKC,29,404,.310,16.0,,.478,.133,.274,.053,.018,.522,,.407,.467,.355,.333,1.000,.220,,.591,.923,,.000,0,,.237,.214,,0,0
337,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,31,301,.439,13.6,,.524,.402,.110,.000,.012,.476,,.488,.606,.111,,.000,.385,,.571,1.000,,.110,7,,.282,.273,,0,0
338,Terance Mann\mannte01,SF,25,LAC,57,1635,.479,12.8,,.674,.309,.150,.138,.076,.326,,.535,.671,.479,.415,.306,.364,,.529,.839,,.100,39,,.390,.350,,3,0
339,Tre Mann\manntr01,PG,20,OKC,43,835,.368,16.5,,.537,.125,.249,.074,.089,.463,,.381,.595,.310,.320,.333,.353,,.261,.727,,.021,5,,.160,.440,,1,0
340,Boban Marjanović\marjabo01,C,33,DAL,17,98,.632,7.1,,.947,.333,.386,.193,.035,.053,,.648,.737,.636,.455,1.000,.333,,.743,1.000,,.123,7,,.000,,,0,0
341,Lauri Markkanen\markkla01,PF,24,CLE,38,1148,.436,16.1,,.478,.244,.135,.067,.032,.522,,.539,.686,.397,.310,.500,.342,,.676,1.000,,.088,34,,.218,.347,,0,0
342,Naji Marshall\marshna01,SF,24,NOP,31,301,.359,13.0,,.583,.330,.184,.049,.019,.417,,.483,.529,.474,.400,.000,.186,,.517,.750,,.049,5,,.419,.111,,0,0
343,Caleb Martin\martica02,SF,26,MIA,44,1009,.506,12.2,,.635,.381,.157,.031,.066,.365,,.579,.752,.260,.200,.524,.379,,.581,.932,,.104,28,,.422,.367,,1,0
344,Cody Martin\martico01,SF,26,CHO,49,1334,.454,12.3,,.631,.375,.145,.041,.069,.369,,.480,.613,.326,.231,.227,.410,,.646,.896,,.079,21,,.573,.418,,1,0
345,Kelan Martin\martike03,SF,26,IND,27,444,.417,15.4,,.560,.238,.119,.083,.119,.440,,.511,.650,.200,.500,.550,.297,,.646,1.000,,.024,3,,.351,.423,,1,0
346,Kenyon Martin Jr.\martike04,SF,21,HOU,52,1021,.527,8.8,,.719,.497,.222,.000,.000,.281,,.617,.741,.338,,,.298,,.655,1.000,,.254,74,,.309,.207,,0,0
347,Garrison Mathews\mathega01,SG,25,HOU,38,1046,.416,22.2,,.172,.106,.046,.013,.007,.828,,.596,.813,.286,.250,.000,.378,,.774,1.000,,.026,8,,.275,.348,,0,0
348,Dakota Mathias\mathida01,SG,26,MEM,6,16,.333,25.1,,.000,.000,.000,.000,.000,1.000,,,,,,,.333,,,1.000,,.000,0,,.167,1.000,,0,0
349,Wesley Matthews\matthwe02,SG,35,MIL,28,538,.417,19.5,,.283,.126,.110,.047,.000,.717,,.583,.813,.429,.333,,.352,,.619,.969,,.000,0,,.363,.333,,0,0
350,Tyrese Maxey\maxeyty01,PG,21,PHI,49,1745,.475,12.1,,.738,.268,.250,.138,.083,.262,,.502,.644,.461,.352,.418,.399,,.404,.638,,.014,6,,.145,.640,,2,0
351,Skylar Mays\mayssk01,SG,24,ATL,22,202,.508,12.6,,.590,.410,.098,.016,.066,.410,,.639,.680,.500,.000,.750,.320,,.435,1.000,,.016,1,,.360,.222,,0,0
