Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
59,Bol Bol\bolbo01,PF,22,DEN,14,81,,.556,.609,.250,.574,.400,.565,.185,.148,,122,115,72,109,52,101,77,37,,2.6,.3
60,Leandro Bolmaro\bolmale01,SF,21,MIN,25,188,,.281,.350,.167,.312,.889,.389,.281,.375,,62,66,48,59,115,70,117,94,,-13.7,-12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Isaac Bonga\bongais01,SF,22,TOR,13,66,,.231,.222,.250,.269,.667,.352,.462,.308,,51,42,72,51,86,63,192,77,,-6.7,-6.5
62,Devin Booker\bookede01,SG,25,PHO,49,1661,,.447,.487,.369,.510,.861,.555,.239,.345,,98,92,106,97,111,99,100,86,,-31.8,-10.6
63,Brandon Boston Jr.\bostobr01,SG,20,LAC,39,605,,.363,.404,.289,.414,.855,.462,.215,.352,,80,77,83,79,111,83,89,88,,-57.3,-54.6
64,Chris Boucher\bouchch01,PF,29,TOR,53,1067,,.461,.576,.283,.516,.769,.564,.352,.393,,101,109,81,98,100,101,147,98,,-7.1,4.0
65,James Bouknight\bouknja01,SG,21,CHO,27,288,,.353,.356,.347,.415,.871,.468,.228,.360,,77,68,99,79,113,84,95,90,,-30.1,-27.5
66,Avery Bradley\bradlav01,SG,31,LAL,49,1165,,.411,.455,.381,.523,.857,.533,.047,.589,,90,86,109,100,111,95,19,147,,-1.5,-16.5
67,Tony Bradley\bradlto01,C,24,CHI,43,488,,.585,.585,,.585,.667,.599,.198,.000,,128,111,,111,86,107,82,,,12.5,9.0
68,Ignas Brazdeikis\brazdig01,SF,23,ORL,27,239,,.356,.410,.294,.425,.786,.461,.192,.466,,78,78,84,81,102,82,80,116,,-14.8,-15.6
69,Mikal Bridges\bridgmi01,SF,25,PHO,56,1945,,.528,.623,.373,.599,.867,.623,.149,.381,,116,118,107,114,112,111,62,95,,81.1,74.7
70,Miles Bridges\bridgmi02,PF,23,CHO,56,2009,,.482,.591,.307,.541,.800,.579,.263,.382,,106,112,88,103,104,104,110,95,,25.7,37.4
71,Oshae Brissett\brissos01,SF,23,IND,45,897,,.410,.466,.344,.489,.659,.520,.306,.455,,90,88,99,93,85,93,127,114,,-19.9,-24.3
72,Malcolm Brogdon\brogdma01,PG,29,IND,28,934,,.448,.529,.307,.504,.861,.558,.297,.365,,98,100,88,96,111,100,123,91,,-18.3,-1.1
73,Armoni Brooks\brookar01,SG,23,HOU,41,690,,.347,.605,.300,.474,.842,.490,.076,.849,,76,115,86,90,109,88,31,212,,-26.0,-36.3
74,Dillon Brooks\brookdi01,SF,26,MEM,21,587,,.426,.469,.327,.475,.889,.521,.212,.297,,94,89,94,90,115,93,88,74,,-34.6,-29.0
75,Bruce Brown\brownbr01,SF,25,BRK,47,964,,.480,.509,.316,.504,.717,.527,.184,.152,,105,97,90,96,93,94,77,38,,-11.0,-17.5
76,Charlie Brown Jr.\brownch02,SG,24,TOT,18,166,,.250,.333,.083,.264,.875,.329,.222,.333,,55,63,24,50,113,59,92,83,,-18.9,-18.2
77,Charlie Brown Jr.\brownch02,SG,24,DAL,3,15,,.200,.500,.000,.200,,.200,.000,.600,,44,95,,38,,36,,150,,-3.3,-3.6
78,Charlie Brown Jr.\brownch02,SG,24,PHI,15,151,,.258,.318,.111,.274,.875,.348,.258,.290,,57,60,32,52,113,62,107,72,,-15.6,-14.6
79,Chaundee Brown Jr.\brownch05,SF-SG,23,TOT,5,104,,.312,.286,.333,.406,.833,.447,.188,.562,,69,54,95,77,108,80,78,140,,-7.7,-7.8
80,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,,.143,.250,.000,.143,,.143,.000,.429,,31,47,,27,,26,,107,,-5.4,-5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,,.360,.300,.400,.480,.833,.525,.240,.600,,79,57,115,91,108,94,100,150,,-2.3,-1.9
82,Greg Brown III\browngr01,SF,20,POR,26,190,,.446,.547,.190,.473,.607,.504,.378,.284,,98,104,55,90,79,90,157,71,,-7.8,-9.6
83,Jaylen Brown\brownja02,SF,25,BOS,44,1512,,.455,.530,.342,.524,.776,.560,.259,.403,,100,101,98,100,100,100,108,101,,-3.9,1.0
84,Moses Brown\brownmo01,C,22,DAL,26,169,,.540,.540,,.540,.628,.588,.860,.000,,118,102,,103,81,105,358,,,1.4,3.9
85,Sterling Brown\brownst02,SG,26,DAL,36,513,,.398,.490,.342,.504,.909,.523,.086,.617,,87,93,98,96,118,93,36,154,,-5.6,-9.7
86,Troy Brown Jr.\browntr01,SF,22,CHI,46,820,,.405,.480,.327,.485,.760,.505,.125,.490,,89,91,93,92,98,90,52,122,,-16.4,-23.2
87,Jalen Brunson\brunsja01,PG,25,DAL,56,1784,,.502,.547,.357,.545,.808,.575,.203,.238,,110,104,102,104,105,103,84,59,,26.7,24.4
88,Thomas Bryant\bryanth01,C,24,WAS,13,218,,.494,.564,.346,.549,.765,.576,.210,.321,,108,107,99,104,99,103,87,80,,3.8,3.0
89,Shaq Buchanan\buchash01,PG,25,MEM,2,10,,.250,.500,.000,.250,,.250,.000,.500,,55,95,,48,,45,,125,,-2.2,-2.5
90,Reggie Bullock\bullore01,SF,30,DAL,49,1242,,.415,.582,.363,.554,.857,.572,.104,.764,,91,110,104,105,111,102,43,191,,18.6,8.8
91,Trey Burke\burketr01,PG,29,DAL,32,346,,.415,.471,.333,.482,.941,.507,.099,.404,,91,89,95,92,122,91,41,101,,-14.9,-18.8
92,Alec Burks\burksal01,SG,30,NYK,56,1490,,.383,.373,.392,.484,.826,.550,.381,.518,,84,71,112,92,107,98,158,129,,-40.0,-11.2
93,Jared Butler\butleja02,SG,21,UTA,27,210,,.409,.463,.362,.506,.583,.515,.136,.534,,90,88,104,96,76,92,57,133,,-3.6,-8.4
94,Jimmy Butler\butleji01,SF,32,MIA,38,1284,,.491,.531,.206,.504,.893,.601,.536,.122,,108,101,59,96,116,107,223,31,,-24.8,57.0
95,Devontae Cacok\cacokde01,PF,25,SAS,10,80,,.696,.696,,.696,.571,.690,.304,.000,,153,132,,132,74,123,127,,,7.8,6.8
96,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,52,1523,,.407,.448,.367,.501,.893,.532,.145,.514,,89,85,105,95,116,95,60,128,,-25.9,-30.8
97,Facundo Campazzo\campafa01,PG,30,DEN,53,1077,,.379,.485,.320,.482,.800,.525,.257,.643,,83,92,92,92,104,94,107,161,,-24.1,-20.9
98,Vlatko Čančar\cancavl01,PF,24,DEN,14,152,,.564,.556,.583,.654,.750,.678,.308,.308,,124,105,167,124,97,121,128,77,,10.0,10.4
99,Clint Capela\capelca01,C,27,ATL,48,1348,,.588,.589,.000,.588,.466,.581,.291,.003,,129,112,,112,60,104,121,1,,49.4,19.4
100,Vernon Carey Jr.\careyve01,C,20,TOT,5,18,,.500,.500,,.500,.667,.546,.500,.000,,110,95,,95,86,98,208,,,-0.3,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Vernon Carey Jr.\careyve01,C,20,CHO,4,17,,.500,.500,,.500,.667,.546,.500,.000,,110,95,,95,86,98,208,,,-0.3,-0.2
102,Vernon Carey Jr.\careyve01,C,20,WAS,1,1,,,,,,,,,,,,,,,,,,,,.0,.0
103,Jevon Carter\carteje01,PG,26,BRK,43,505,,.331,.310,.339,.455,.750,.463,.052,.727,,73,59,97,86,97,83,22,182,,-22.0,-30.3
104,Wendell Carter Jr.\cartewe01,C,22,ORL,49,1436,,.505,.603,.318,.560,.706,.588,.299,.344,,111,114,91,106,91,105,125,86,,34.5,32.7
105,Alex Caruso\carusal01,SG,27,CHI,28,775,,.429,.505,.345,.511,.814,.563,.324,.478,,94,96,99,97,105,101,135,119,,-5.4,1.2
106,Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,,.457,.455,.500,.471,.500,.474,.057,.057,,100,86,143,90,65,85,24,14,,-3.8,-6.2
107,Ahmad Caver\caverah01,PG,25,IND,1,1,,1.000,1.000,,1.000,,1.000,.000,.000,,219,190,,190,,179,,,,.9,.9
108,Justin Champagnie\champju01,SF,20,TOR,30,252,,.483,.526,.409,.558,1.000,.594,.150,.367,,106,100,117,106,129,106,62,92,,3.9,4.4
109,Zylan Cheatham\cheatzy01,SF,26,UTA,1,5,,.000,.000,.000,.000,,.000,.000,.667,,,,,,,,,166,,-3.2,-3.4
110,Chris Chiozza\chiozch01,PG,26,GSW,26,279,,.292,.136,.372,.415,1.000,.420,.015,.662,,64,26,107,79,129,75,6,165,,-14.4,-18.2
111,Josh Christopher\chrisjo01,SG,20,HOU,47,780,,.467,.549,.339,.533,.766,.563,.223,.390,,102,104,97,101,99,101,93,97,,4.1,2.3
112,Marquese Chriss\chrisma01,PF,24,DAL,23,256,,.475,.512,.333,.510,.632,.526,.188,.208,,104,97,95,97,82,94,78,52,,-3.2,-7.4
113,Brandon Clarke\clarkbr01,PF,25,MEM,43,818,,.651,.679,.222,.658,.698,.673,.295,.062,,143,129,64,125,90,120,122,15,,76.9,74.8
114,Gary Clark\clarkga01,PF,27,NOP,24,269,,.361,.300,.373,.516,.750,.535,.131,.836,,79,57,107,98,97,96,55,209,,-1.2,-3.2
115,Jordan Clarkson\clarkjo01,SG,29,UTA,53,1405,,.402,.513,.318,.493,.827,.520,.148,.571,,88,97,91,94,107,93,62,143,,-49.5,-62.6
116,Nic Claxton\claxtni01,C,22,BRK,25,530,,.639,.639,,.639,.566,.639,.342,.000,,140,121,,121,73,114,142,,,35.0,28.4
117,Amir Coffey\coffeam01,SG,24,LAC,45,993,,.458,.553,.391,.573,.890,.619,.265,.585,,100,105,112,109,115,111,110,146,,25.7,36.3
118,Darren Collison\collida01,PG,34,LAL,3,37,,.286,.500,.000,.286,,.286,.000,.429,,63,95,,54,,51,,107,,-3.4,-3.8
119,John Collins\collijo01,PF,24,ATL,50,1564,,.537,.591,.388,.588,.794,.621,.264,.264,,118,112,111,112,103,111,110,66,,75.6,83.1
120,Zach Collins\colliza01,PF,24,SAS,3,48,,.421,.375,.667,.474,.500,.482,.211,.158,,92,71,191,90,65,86,88,39,,-2.0,-3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Mike Conley\conlemi01,PG,34,UTA,50,1419,,.446,.473,.423,.558,.835,.591,.209,.528,,98,90,121,106,108,106,87,132,,35.4,37.7
122,Pat Connaughton\connapa01,SG,29,MIL,54,1457,,.467,.639,.407,.618,.811,.630,.089,.740,,103,121,117,118,105,112,37,185,,76.5,60.3
123,Tyler Cook\cookty01,PF,24,CHI,19,196,,.611,.611,,.611,.645,.645,.861,.000,,134,116,,116,84,115,358,,,6.1,8.4
124,Sharife Cooper\coopesh01,PG,20,ATL,11,35,,.214,.250,.167,.250,,.250,.000,.429,,47,47,48,48,,45,,107,,-7.7,-8.7
125,Petr Cornelie\cornepe01,PF,26,DEN,13,38,,.333,.571,.125,.367,.750,.418,.267,.533,,73,108,36,70,97,75,111,133,,-4.8,-4.8
126,DeMarcus Cousins\couside01,C,31,TOT,23,366,,.409,.500,.262,.459,.778,.514,.340,.384,,90,95,75,87,101,92,141,96,,-21.2,-16.5
127,DeMarcus Cousins\couside01,C,31,MIL,17,287,,.466,.600,.271,.521,.816,.572,.322,.407,,102,114,78,99,106,102,134,102,,-1.1,3.2
128,DeMarcus Cousins\couside01,C,31,DEN,6,79,,.244,.250,.231,.280,.688,.354,.390,.317,,53,47,66,53,89,63,162,79,,-20.1,-19.8
129,Robert Covington\covinro01,PF-SF,31,TOT,52,1505,,.388,.483,.343,.504,.822,.527,.125,.679,,85,92,98,96,106,94,52,169,,-15.7,-25.2
130,Robert Covington\covinro01,PF,31,POR,48,1431,,.381,.462,.343,.499,.833,.519,.107,.685,,84,88,98,95,108,93,45,171,,-18.4,-28.8
131,Robert Covington\covinro01,SF,31,LAC,4,74,,.480,.700,.333,.580,.778,.622,.360,.600,,105,133,95,110,101,111,150,150,,2.7,3.6
132,Torrey Craig\craigto01,SF,31,TOT,52,1057,,.462,.577,.340,.545,.771,.562,.121,.486,,101,109,97,104,100,100,50,121,,11.0,1.2
133,Torrey Craig\craigto01,SF,31,IND,51,1034,,.456,.573,.333,.537,.771,.555,.125,.491,,100,109,95,102,100,99,52,123,,6.4,-2.7
134,Torrey Craig\craigto01,SF,31,PHO,1,23,,.667,.667,.667,.778,,.778,.000,.333,,146,126,191,148,,139,,83,,4.5,3.9
135,Jae Crowder\crowdja01,PF,31,PHO,46,1301,,.396,.517,.337,.510,.830,.536,.147,.673,,87,98,97,97,107,96,61,168,,-11.7,-18.1
