Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
187,Anthony Gill\gillan01,PF,29,WAS,23,166,,,18%,65%,18%,11.9,16.1,2,1,19,2,9,5,20,1,2
188,Freddie Gillespie\gillefr01,PF,24,ORL,9,119,,,,28%,72%,-10.9,-2.2,1,1,9,2,3,3,12,1,5
189,Rudy Gobert\goberru01,C,29,UTA,42,1364,,,,,100%,12.2,11.1,18,23,51,28,116,4,128,21,29
190,Brandon Goodwin\goodwbr01,PG,26,CLE,16,254,100%,,,,,1.6,-2.9,14,1,4,2,4,3,115,0,10
191,Jordan Goodwin\goodwjo01,SG,23,WAS,2,6,48%,52%,,,,-100.0,-97.0,0,0,1,0,0,0,0,0,0
192,Aaron Gordon\gordoaa01,PF,26,DEN,51,1621,,,47%,50%,4%,6.8,12.1,31,28,36,20,70,5,305,22,36
193,Eric Gordon\gordoer01,SG,33,HOU,45,1326,16%,55%,29%,,,-6.4,6.4,45,32,19,6,49,3,337,12,21
194,Devonte' Graham\grahade01,PG,26,NOP,52,1615,99%,1%,,,,-1.6,6.0,56,19,37,4,30,13,553,4,20
195,Jerami Grant\grantje01,PF,27,DET,31,1001,,,2%,94%,5%,-12.2,-2.5,25,18,34,15,73,9,203,11,19
196,Hassani Gravett\graveha01,PG,25,ORL,8,171,87%,13%,,,,-0.3,9.0,8,1,7,0,2,1,50,0,3
197,Danny Green\greenda02,SF,34,PHI,38,888,,5%,83%,13%,,6.2,5.4,16,10,30,2,0,4,95,0,6
198,Draymond Green\greendr01,PF,31,GSW,34,1018,,,5%,79%,16%,8.8,1.9,82,8,46,12,31,12,602,3,9
199,Jalen Green\greenja05,SG,19,HOU,40,1213,27%,73%,,,,-18.9,-17.5,39,33,24,9,62,11,226,11,48
200,JaMychal Green\greenja01,PF,31,DEN,43,636,,,29%,58%,13%,-6.8,-11.3,14,7,43,15,25,8,91,2,20
201,Javonte Green\greenja02,SF,28,CHI,40,953,1%,59%,38%,2%,,5.8,5.4,7,6,39,5,35,10,109,2,15
202,Jeff Green\greenje02,C,35,DEN,52,1280,,,,67%,33%,1.4,-1.2,17,14,62,11,74,15,153,23,18
203,Josh Green\greenjo02,SG,21,DAL,42,588,2%,58%,41%,,,6.8,4.6,15,2,27,3,16,9,128,5,11
204,Blake Griffin\griffbl01,PF,32,BRK,45,847,,,9%,50%,41%,-2.7,-4.6,12,8,40,2,30,34,228,10,18
205,Quentin Grimes\grimequ01,SG,21,NYK,37,624,14%,80%,6%,,,-1.1,0.0,14,4,19,1,3,5,86,3,2
206,Kyle Guy\guyky01,SG,24,MIA,15,175,52%,48%,,,,-10.3,-16.3,9,2,9,0,4,3,41,1,3
207,Rui Hachimura\hachiru01,PF,23,WAS,16,293,,,36%,60%,4%,-4.4,-1.4,5,2,8,2,13,1,46,4,4
208,Tyrese Haliburton\halibty01,SG-PG,21,TOT,53,1837,21%,75%,4%,,,-5.6,-3.4,85,20,33,6,44,6,935,14,28
208,Tyrese Haliburton\halibty01,SG,21,SAC,51,1757,18%,78%,4%,,,-5.8,-3.6,79,17,30,6,44,4,882,14,27
208,Tyrese Haliburton\halibty01,PG,21,IND,2,80,81%,16%,3%,,,-2.4,0.7,6,3,3,0,0,2,53,0,1
209,Tyler Hall\hallty01,SG,24,NYK,1,2,,100%,,,,-90.0,-89.0,0,0,0,0,0,0,0,0,0
210,R.J. Hampton\hamptrj01,SG,20,ORL,42,815,28%,69%,4%,,,-16.7,-11.2,33,16,28,2,35,10,266,5,24
211,Tim Hardaway Jr.\hardati02,SG,29,DAL,42,1245,,50%,48%,2%,,1.3,-3.5,17,12,26,1,43,13,220,9,18
212,James Harden\hardeja01,PG,32,BRK,44,1627,29%,56%,15%,,,1.6,3.1,131,55,45,13,154,3,1012,39,66
213,Maurice Harkless\harklma01,SF,28,SAC,39,767,,2%,72%,26%,,-3.0,2.0,12,6,30,6,12,2,52,3,9
214,Jared Harper\harpeja01,PG,24,NOP,2,10,100%,,,,,-19.4,-15.5,0,1,2,0,0,0,9,0,0
215,Montrezl Harrell\harremo01,C,28,TOT,48,1168,,,,1%,99%,2.1,8.6,22,18,44,10,112,12,226,34,22
215,Montrezl Harrell\harremo01,C,28,WAS,46,1117,,,,,100%,1.7,8.4,21,16,42,10,103,12,218,30,21
215,Montrezl Harrell\harremo01,C,28,CHO,2,51,,,,23%,77%,12.0,12.9,1,2,2,0,9,0,8,4,1
