Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
180,Usman Garuba\garubus01,PF,19,HOU,15,0,7.0,0.5,1.6,.333,0.1,0.9,.154,0.4,0.7,.545,.375,0.1,0.1,.500,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3
181,Luka Garza\garzalu01,C,23,DET,29,5,11.7,1.9,4.3,.444,0.5,1.4,.341,1.4,2.9,.494,.500,0.9,1.4,.643,1.7,1.3,3.0,0.6,0.3,0.1,0.6,1.7,5.2
182,Rudy Gay\gayru01,PF,35,UTA,35,1,20.0,3.1,7.3,.418,1.4,4.1,.340,1.7,3.2,.518,.514,1.4,1.8,.790,1.0,3.6,4.6,1.1,0.6,0.3,0.9,1.9,8.9
183,Paul George\georgpa01,SF,31,LAC,26,26,35.5,9.0,21.4,.421,2.7,8.3,.323,6.3,13.0,.484,.484,4.0,4.5,.880,0.4,6.7,7.1,5.5,2.0,0.4,4.2,2.5,24.7
184,Taj Gibson\gibsota01,C,36,NYK,37,4,18.2,1.5,2.8,.533,0.2,0.6,.381,1.3,2.3,.571,.571,0.7,0.9,.758,1.6,2.8,4.4,0.7,0.4,0.8,0.6,2.8,3.9
185,Josh Giddey\giddejo01,SG,19,OKC,51,51,31.2,5.0,12.1,.415,1.0,4.0,.257,4.0,8.1,.492,.457,1.0,1.4,.722,1.7,5.9,7.7,6.2,0.9,0.4,3.1,1.6,12.0
186,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,43,43,34.6,7.8,18.3,.424,1.6,5.6,.278,6.2,12.7,.488,.466,5.6,6.9,.811,0.7,4.0,4.7,5.5,1.1,0.8,2.4,2.3,22.7
187,Anthony Gill\gillan01,PF,29,WAS,23,0,7.2,1.1,1.6,.676,0.2,0.3,.625,0.9,1.3,.690,.743,0.7,0.9,.714,0.5,0.8,1.3,0.4,0.1,0.1,0.3,1.3,3.0
188,Freddie Gillespie\gillefr01,PF,24,ORL,9,2,13.2,1.0,2.4,.409,0.0,0.1,.000,1.0,2.3,.429,.409,0.3,0.8,.429,1.4,2.6,4.0,0.6,0.3,1.0,0.6,2.0,2.3
189,Rudy Gobert\goberru01,C,29,UTA,42,42,32.5,5.6,8.0,.707,0.0,0.0,.000,5.6,7.9,.712,.707,4.7,6.8,.690,3.7,11.4,15.1,1.2,0.8,2.3,1.8,2.7,16.0
190,Brandon Goodwin\goodwbr01,PG,26,CLE,16,3,15.9,2.1,5.3,.388,0.8,2.0,.375,1.3,3.3,.396,.459,0.4,0.9,.500,0.4,1.9,2.4,3.1,1.0,0.0,1.1,1.4,5.3
191,Jordan Goodwin\goodwjo01,SG,23,WAS,2,0,3.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
192,Aaron Gordon\gordoaa01,PF,26,DEN,51,51,31.8,5.7,10.9,.519,1.2,3.5,.333,4.5,7.4,.607,.573,2.2,3.0,.735,1.7,4.0,5.7,2.6,0.7,0.5,1.7,1.9,14.7
193,Eric Gordon\gordoer01,SG,33,HOU,45,34,29.5,5.0,10.2,.491,2.2,5.2,.427,2.8,5.0,.558,.600,1.9,2.6,.757,0.3,1.7,2.0,3.0,0.5,0.4,2.0,1.0,14.2
194,Devonte' Graham\grahade01,PG,26,NOP,52,52,31.1,4.4,12.2,.361,2.9,8.3,.345,1.5,3.9,.394,.478,1.7,2.0,.845,0.5,2.0,2.5,4.5,1.0,0.2,1.6,1.5,13.3
195,Jerami Grant\grantje01,PF,27,DET,31,31,32.3,6.3,15.3,.411,1.7,5.2,.321,4.6,10.1,.457,.465,4.7,5.7,.835,0.7,3.7,4.5,2.6,0.9,1.1,2.0,2.2,19.0
196,Hassani Gravett\graveha01,PG,25,ORL,8,3,21.4,2.3,4.8,.474,1.4,3.3,.423,0.9,1.5,.583,.618,0.4,0.5,.750,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3
197,Danny Green\greenda02,SF,34,PHI,38,24,23.4,2.3,5.6,.407,1.8,4.7,.385,0.5,0.9,.514,.568,0.2,0.3,.900,0.5,2.0,2.5,1.0,1.1,0.8,0.9,1.6,6.6
198,Draymond Green\greendr01,PF,31,GSW,34,34,29.9,3.2,5.9,.537,0.4,1.2,.286,2.8,4.7,.604,.567,1.2,2.0,.597,1.1,6.4,7.6,7.4,1.4,1.2,3.1,2.8,7.9
199,Jalen Green\greenja05,SG,19,HOU,40,40,30.3,4.8,12.6,.381,1.8,6.1,.295,3.0,6.5,.462,.452,3.0,3.6,.828,0.4,2.9,3.3,2.4,0.6,0.2,2.3,1.5,14.4
200,JaMychal Green\greenja01,PF,31,DEN,43,7,14.8,2.3,5.0,.453,0.6,2.2,.255,1.7,2.8,.608,.509,1.1,1.3,.860,1.0,2.7,3.7,0.8,0.7,0.4,0.9,2.2,6.2
201,Javonte Green\greenja02,SF,28,CHI,40,29,23.8,2.8,5.1,.541,0.5,1.4,.316,2.3,3.7,.628,.585,1.5,1.8,.819,1.6,2.7,4.2,1.1,0.9,0.6,0.6,2.1,7.5
202,Jeff Green\greenje02,C,35,DEN,52,40,24.6,3.7,7.3,.511,0.8,2.3,.328,3.0,5.0,.597,.563,2.1,2.6,.828,0.6,2.6,3.2,1.2,0.3,0.4,0.9,2.2,10.4
203,Josh Green\greenjo02,SG,21,DAL,42,0,14.0,1.8,3.5,.507,0.2,0.8,.294,1.5,2.7,.570,.541,0.6,0.8,.714,0.7,1.4,2.1,1.3,0.7,0.2,0.5,1.6,4.4
204,Blake Griffin\griffbl01,PF,32,BRK,45,24,18.8,2.6,6.2,.416,0.6,2.8,.230,2.0,3.4,.568,.468,1.1,1.5,.735,1.2,3.3,4.6,2.1,0.6,0.3,0.5,1.8,7.0
205,Quentin Grimes\grimequ01,SG,21,NYK,37,4,16.9,2.1,5.0,.419,1.6,4.0,.399,0.5,1.0,.500,.578,0.3,0.5,.647,0.5,1.3,1.8,1.0,0.7,0.2,0.6,1.4,6.1
