Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
35,Charles Bassey\bassech01,PF,21,PHI,22,161,21.4,.669,.093,.256,14.0,27.1,20.6,6.8,1.2,9.4,14.3,15.6,,0.4,0.3,0.8,.224,,-0.6,2.4,1.8,0.2
36,Keita Bates-Diop\bateske01,SF,26,SAS,43,708,11.8,.560,.226,.226,6.7,18.5,12.6,4.6,1.4,1.5,13.2,14.1,,0.4,0.7,1.1,.073,,-2.3,-0.5,-2.8,-0.1
37,Nicolas Batum\batumni01,PF,33,LAC,37,918,14.0,.637,.724,.100,2.0,16.0,9.2,8.8,1.9,2.5,10.1,13.3,,1.2,1.3,2.5,.129,,0.6,1.8,2.4,1.0
38,Kent Bazemore\bazemke01,SF,32,LAL,31,455,6.8,.451,.546,.143,2.1,10.4,6.3,8.4,2.1,1.2,7.3,12.9,,-0.1,0.4,0.3,.033,,-4.6,0.9,-3.6,-0.2
39,Darius Bazley\bazleda01,PF,21,OKC,51,1377,12.2,.491,.396,.253,4.3,20.9,12.4,7.3,1.5,4.0,11.9,18.1,,-0.7,2.0,1.3,.045,,-2.5,0.8,-1.7,0.1
40,Bradley Beal\bealbr01,SG,28,WAS,40,1439,18.1,.539,.272,.263,2.9,11.2,7.2,31.7,1.2,0.9,13.6,30.7,,1.0,0.8,1.8,.060,,2.2,-1.4,0.9,1.0
41,Malik Beasley\beaslma01,SG,25,MIN,57,1463,11.2,.519,.716,.064,1.5,11.4,6.3,8.5,1.0,0.6,5.2,20.3,,0.8,0.7,1.6,.052,,0.1,-1.8,-1.6,0.1
42,Jordan Bell\belljo01,C,27,CHI,1,2,30.0,,,,56.1,0.0,27.8,0.0,24.4,0.0,,0.0,,0.0,0.0,0.0,.613,,-7.7,10.7,3.0,0.0
43,DeAndre' Bembry\bembrde01,SF,27,BRK,48,949,12.7,.609,.169,.164,4.4,12.7,8.6,8.6,2.4,2.3,11.6,11.8,,1.1,1.0,2.1,.108,,-1.9,1.3,-0.6,0.3
44,Dāvis Bertāns\bertada01,PF,29,WAS,34,501,8.6,.527,.842,.175,1.3,11.8,6.6,4.5,1.1,1.0,7.1,17.6,,0.1,0.3,0.3,.033,,-2.4,-1.4,-3.7,-0.2
45,Patrick Beverley\beverpa01,PG,33,MIN,38,990,15.2,.528,.532,.246,4.3,13.9,8.9,25.9,2.0,3.5,11.9,15.6,,1.7,1.1,2.8,.137,,0.8,2.0,2.8,1.2
46,Saddiq Bey\beysa01,SF,22,DET,56,1878,13.2,.513,.525,.206,4.1,14.9,9.2,13.2,1.3,0.6,7.8,21.2,,1.0,0.9,1.9,.049,,0.3,-1.5,-1.1,0.4
47,Khem Birch\birchkh01,C,29,TOR,29,542,14.7,.541,.072,.396,12.8,13.3,13.0,8.8,2.0,2.3,11.5,11.7,,1.0,0.6,1.5,.135,,-0.6,0.5,-0.1,0.3
